,Zahlen vom 23.09.2021,vor einer Woche
Neue Fälle,23.0,71.0
Fälle gesamt,22595.0,22382.0
Todesfälle neu,0.0,2.0
Todesfälle gesamt,281.0,279.0
hospitalisierte Patienten,18.0,25.0
davon auf der Intensiv-Station,9.0,12.0
