,Zahlen vom 21.05.2021,vor einer Woche
Neue Fälle,31,79
Fälle gesamt,17607,17380
Todesfälle neu,1,0
Todesfälle gesamt,271,270
hospitalisierte Patienten ^seit Vortag^,14^-4^,27^-4^
davon auf der Intensiv-Station ^seit Vortag^,3^0^,8^0^
