,Zahlen vom 11.03.2021,vor einer Woche
Neue Fälle,45,43
Fälle gesamt,13998,13737
Todesfälle neu,0,1
Todesfälle gesamt,256,254
hospitalisierte Patienten ^seit Vortag^,15^0^,20^-1^
davon auf der Intensiv-Station ^seit Vortag^,3^-3^,7^-1^
