,Zahlen vom 19.04.2021,vor einer Woche
Neue Fälle,173,150
Fälle gesamt,16060,15585
Todesfälle neu,1,0
Todesfälle gesamt,264,262
hospitalisierte Patienten ^seit Vortag^,19^-3^,31^0^
davon auf der Intensiv-Station ^seit Vortag^,5^-2^,7^-1^
