,Zahlen vom 17.03.2021,vor einer Woche
Neue Fälle,75,51
Fälle gesamt,14225,13953
Todesfälle neu,0,0
Todesfälle gesamt,256,256
hospitalisierte Patienten ^seit Vortag^,15^+6^,15^+2^
davon auf der Intensiv-Station ^seit Vortag^,5^0^,6^0^
