,Zahlen vom 19.03.2021,vor einer Woche
Neue Fälle,61,44
Fälle gesamt,14334,14042
Todesfälle neu,0,0
Todesfälle gesamt,256,256
hospitalisierte Patienten ^seit Vortag^,18^-1^,16^+1^
davon auf der Intensiv-Station ^seit Vortag^,5^-1^,3^0^
