,Zahlen vom 06.12.2021,vor einer Woche
Neue Fälle,597.0,540.0
Fälle gesamt,28419.0,26961.0
Todesfälle neu,2.0,0.0
Todesfälle gesamt,294.0,290.0
hospitalisierte Patienten,24.0,29.0
davon auf der Intensiv-Station,7.0,4.0
