,Zahlen vom 27.01.2021,vor einer Woche
Neue Fälle,86,55
Fälle gesamt,12532,12192
Todesfälle neu,1,2
Todesfälle gesamt,244,241
hospitalisierte Patienten ^seit Vortag^,30^+1^,39^-5^
davon auf der Intensiv-Station ^seit Vortag^,6^+1^,9^-1^
