,Zahlen vom 16.03.2022,vor einer Woche
Neue Fälle,1628.0,1471.0
Fälle gesamt,99309.0,90411.0
Todesfälle neu,1.0,0.0
Todesfälle gesamt,348.0,344.0
hospitalisierte Patienten,51.0,42.0
davon auf der Intensiv-Station,6.0,4.0
