,Zahlen vom 12.05.2021,vor einer Woche
Neue Fälle,62,77
Fälle gesamt,17301,16965
Todesfälle neu,0,2
Todesfälle gesamt,270,268
hospitalisierte Patienten ^seit Vortag^,31^+6^,28^-3^
davon auf der Intensiv-Station ^seit Vortag^,8^+4^,8^+2^
