,Zahlen vom 13.07.2022,vor einer Woche
Neue Fälle,288.0,337.0
Fälle gesamt,121644.0,120049.0
Todesfälle neu,0.0,0.0
Todesfälle gesamt,368.0,368.0
hospitalisierte Patienten,33.0,19.0
davon auf der Intensiv-Station,0.0,2.0
