,Zahlen vom 05.01.2021,vor einer Woche
Neue Fälle,112,92
Fälle gesamt,11104,10380
Todesfälle neu,1,7
Todesfälle gesamt,218,198
hospitalisierte Patienten,67 (-1),71 (+1)
davon auf der Intensiv-Station,11 (-2),15 (+1)
