,Zahlen vom 07.04.2021,vor einer Woche
Neue Fälle,50,69
Fälle gesamt,15290,14929
Todesfälle neu,1,0
Todesfälle gesamt,261,257
hospitalisierte Patienten ^seit Vortag^,32^+4^,20^+1^
davon auf der Intensiv-Station ^seit Vortag^,8^+1^,5^0^
