,Zahlen vom 01.02.2021,vor einer Woche
Neue Fälle,115,100
Fälle gesamt,12735,12409
Todesfälle neu,1,0
Todesfälle gesamt,245,242
hospitalisierte Patienten ^seit Vortag^,28^0^,29^-7^
davon auf der Intensiv-Station ^seit Vortag^,6^0^,7^-3^
