,Zahlen vom 12.01.2021,vor einer Woche
Neue Fälle,72,112
Fälle gesamt,11727,11104
Todesfälle neu,1,1
Todesfälle gesamt,229,218
hospitalisierte Patienten ^seit Vortag^,65^+1^,67^-1^
davon auf der Intensiv-Station ^seit Vortag^,17^0^,11^-2^
