,Zahlen vom 06.04.2021,vor einer Woche
Neue Fälle,27,40
Fälle gesamt,15240,14860
Todesfälle neu,1,0
Todesfälle gesamt,260,257
hospitalisierte Patienten ^seit Vortag^,28^+4^,19^0^
davon auf der Intensiv-Station ^seit Vortag^,7^+3^,5^-1^
