,Zahlen vom 10.02.2021,vor einer Woche
Neue Fälle,33,49
Fälle gesamt,13032,12806
Todesfälle neu,0,0
Todesfälle gesamt,245,245
hospitalisierte Patienten ^seit Vortag^,19^+2^,30^+2^
davon auf der Intensiv-Station ^seit Vortag^,7^0^,7^+1^
