,Zahlen vom 18.05.2021,vor einer Woche
Neue Fälle,40,34
Fälle gesamt,17495,17239
Todesfälle neu,0,0
Todesfälle gesamt,270,270
hospitalisierte Patienten ^seit Vortag^,19^+2^,25^+1^
davon auf der Intensiv-Station ^seit Vortag^,6^0^,4^0^
