,Zahlen vom 05.05.2021,vor einer Woche
Neue Fälle,77,85
Fälle gesamt,16965,16612
Todesfälle neu,2,0
Todesfälle gesamt,268,265
hospitalisierte Patienten ^seit Vortag^,28^-3^,28^+2^
davon auf der Intensiv-Station ^seit Vortag^,8^+2^,9^+2^
