,Zahlen vom 24.06.2022,vor einer Woche
Neue Fälle,187.0,194.0
Fälle gesamt,117880.0,117046.0
Todesfälle neu,0.0,0.0
Todesfälle gesamt,367.0,366.0
hospitalisierte Patienten,13.0,8.0
davon auf der Intensiv-Station,1.0,1.0
