,Zahlen vom 09.07.2021,vor einer Woche
Neue Fälle,7,4
Fälle gesamt,18006,17977
Todesfälle neu,0,0
Todesfälle gesamt,271,271
hospitalisierte Patienten ^seit Vortag^,14^0^,14^0^
davon auf der Intensiv-Station ^seit Vortag^,0^0^,0^0^
