,Zahlen vom 26.08.2022,vor einer Woche
Neue Fälle,82.0,101.0
Fälle gesamt,127171.0,126609.0
Todesfälle neu,0.0,1.0
Todesfälle gesamt,373.0,373.0
hospitalisierte Patienten,10.0,13.0
davon auf der Intensiv-Station,0.0,0.0
