,Zahlen vom 08.04.2021,vor einer Woche
Neue Fälle,81,64
Fälle gesamt,15371,14993
Todesfälle neu,0,0
Todesfälle gesamt,261,257
hospitalisierte Patienten ^seit Vortag^,32^0^,24^+4^
davon auf der Intensiv-Station ^seit Vortag^,10^+2^,4^-1^
