,Zahlen vom 19.02.2021,vor einer Woche
Neue Fälle,44,24
Fälle gesamt,13303,13091
Todesfälle neu,0,0
Todesfälle gesamt,246,245
hospitalisierte Patienten ^seit Vortag^,12^-3^,16^-2^
davon auf der Intensiv-Station ^seit Vortag^,5^+1^,6^0^
