,Zahlen vom 03.03.2022,vor einer Woche
Neue Fälle,1281.0,619.0
Fälle gesamt,83578.0,78360.0
Todesfälle neu,1.0,0.0
Todesfälle gesamt,342.0,338.0
hospitalisierte Patienten,27.0,26.0
davon auf der Intensiv-Station,4.0,1.0
