,Zahlen vom 11.06.2021,vor einer Woche
Neue Fälle,2,23
Fälle gesamt,17867,17822
Todesfälle neu,0,0
Todesfälle gesamt,271,271
hospitalisierte Patienten ^seit Vortag^,14^0^,14^0^
davon auf der Intensiv-Station ^seit Vortag^,0^0^,2^+1^
