datum,OW,Schweiz
2020-06-15,0.0,0.4
2020-06-22,0.6,0.7
2020-06-29,0.4,1.1
2020-07-06,1.8,1.5
2020-07-13,2.1,2.0
2020-07-20,2.2,2.6
2020-07-27,1.9,3.5
2020-08-03,2.8,3.3
2020-08-10,0.0,4.1
2020-08-17,5.2,3.6
2020-08-24,2.1,3.1
2020-08-31,0.4,3.1
2020-09-07,0.7,3.6
2020-09-14,2.5,3.8
2020-09-21,3.2,3.7
2020-09-28,3.6,5.3
2020-10-05,17.3,10.0
2020-10-12,20.1,15.4
2020-10-19,19.3,22.6
2020-10-26,23.6,26.5
2020-11-02,26.6,26.5
2020-11-09,32.4,24.0
2020-11-16,27.7,20.8
2020-11-23,21.8,17.6
2020-11-30,17.9,17.8
2020-12-07,19.4,15.2
2020-12-14,16.1,12.8
2020-12-21,15.2,12.6
2020-12-28,14.4,16.7
2021-01-04,20.9,14.4
2021-01-11,26.3,11.5
2021-01-18,21.5,9.0
2021-01-25,6.8,7.5
2021-02-01,8.8,6.1
2021-02-08,6.9,4.7
2021-02-15,11.1,4.5
2021-02-22,3.0,4.8
