,date,Neue Fälle,7-Tages-Durchschnitt,baseline
0,2020-02-26,1,,0
1,2020-02-27,0,,0
2,2020-02-28,0,,0
3,2020-02-29,2,,0
4,2020-03-01,1,,0
5,2020-03-02,3,,0
6,2020-03-03,0,,0
7,2020-03-04,3,1.3,0
8,2020-03-05,1,1.4,0
9,2020-03-06,1,1.6,0
10,2020-03-07,2,1.6,0
11,2020-03-08,0,1.4,0
12,2020-03-09,1,1.1,0
13,2020-03-10,3,1.6,0
14,2020-03-11,2,1.4,0
15,2020-03-12,7,2.3,0
16,2020-03-13,3,2.6,0
17,2020-03-14,3,2.7,0
18,2020-03-15,10,4.1,0
19,2020-03-16,13,5.9,0
20,2020-03-17,13,7.3,0
21,2020-03-18,27,10.9,0
22,2020-03-19,38,15.3,0
23,2020-03-20,41,20.7,0
24,2020-03-21,48,27.1,0
25,2020-03-22,12,27.4,0
26,2020-03-23,10,27.0,0
27,2020-03-24,38,30.6,0
28,2020-03-25,35,31.7,0
29,2020-03-26,49,33.3,0
30,2020-03-27,40,33.1,0
31,2020-03-28,37,31.6,0
32,2020-03-29,41,35.7,0
33,2020-03-30,21,37.3,0
34,2020-03-31,48,38.7,0
35,2020-04-01,42,39.7,0
36,2020-04-02,35,37.7,0
37,2020-04-03,42,38.0,0
38,2020-04-04,29,36.9,0
39,2020-04-05,34,35.9,0
40,2020-04-06,27,36.7,0
41,2020-04-07,30,34.1,0
42,2020-04-08,39,33.7,0
43,2020-04-09,21,31.7,0
44,2020-04-10,27,29.6,0
45,2020-04-11,21,28.4,0
46,2020-04-12,8,24.7,0
47,2020-04-13,7,21.9,0
48,2020-04-14,14,19.6,0
49,2020-04-15,15,16.1,0
50,2020-04-16,17,15.6,0
51,2020-04-17,26,15.4,0
52,2020-04-18,19,15.1,0
53,2020-04-19,8,15.1,0
54,2020-04-20,2,14.4,0
55,2020-04-21,9,13.7,0
56,2020-04-22,11,13.1,0
57,2020-04-23,15,12.9,0
58,2020-04-24,17,11.6,0
59,2020-04-25,8,10.0,0
60,2020-04-26,10,10.3,0
61,2020-04-27,5,10.7,0
62,2020-04-28,6,10.3,0
63,2020-04-29,7,9.7,0
64,2020-04-30,6,8.4,0
65,2020-05-01,12,7.7,0
66,2020-05-02,5,7.3,0
67,2020-05-03,4,6.4,0
68,2020-05-04,2,6.0,0
69,2020-05-05,6,6.0,0
70,2020-05-06,4,5.6,0
71,2020-05-07,4,5.3,0
72,2020-05-08,4,4.1,0
73,2020-05-09,2,3.7,0
74,2020-05-10,7,4.1,0
75,2020-05-11,4,4.4,0
76,2020-05-12,2,3.9,0
77,2020-05-13,5,4.0,0
78,2020-05-14,4,4.0,0
79,2020-05-15,4,4.0,0
80,2020-05-16,2,4.0,0
81,2020-05-17,3,3.4,0
82,2020-05-18,2,3.1,0
83,2020-05-19,7,3.9,0
84,2020-05-20,1,3.3,0
85,2020-05-21,0,2.7,0
86,2020-05-22,2,2.4,0
87,2020-05-23,1,2.3,0
88,2020-05-24,0,1.9,0
89,2020-05-25,0,1.6,0
90,2020-05-26,2,0.9,0
91,2020-05-27,1,0.9,0
92,2020-05-28,1,1.0,0
93,2020-05-29,7,1.7,0
94,2020-05-30,0,1.6,0
95,2020-05-31,3,2.0,0
96,2020-06-01,0,2.0,0
97,2020-06-02,0,1.7,0
98,2020-06-03,1,1.7,0
99,2020-06-04,2,1.9,0
100,2020-06-05,0,0.9,0
101,2020-06-06,2,1.1,0
102,2020-06-07,0,0.7,0
103,2020-06-08,0,0.7,0
104,2020-06-09,2,1.0,0
105,2020-06-10,0,0.9,0
106,2020-06-11,3,1.0,0
107,2020-06-12,3,1.4,0
108,2020-06-13,1,1.3,0
109,2020-06-14,2,1.6,0
110,2020-06-15,1,1.7,0
111,2020-06-16,1,1.6,0
112,2020-06-17,0,1.6,0
113,2020-06-18,3,1.6,0
114,2020-06-19,2,1.4,0
115,2020-06-20,3,1.7,0
116,2020-06-21,0,1.4,0
117,2020-06-22,2,1.6,0
118,2020-06-23,0,1.4,0
119,2020-06-24,7,2.4,0
120,2020-06-25,5,2.7,0
121,2020-06-26,10,3.9,0
122,2020-06-27,5,4.1,0
123,2020-06-28,4,4.7,0
124,2020-06-29,6,5.3,0
125,2020-06-30,23,8.6,0
126,2020-07-01,15,9.7,0
127,2020-07-02,13,10.9,0
128,2020-07-03,4,10.0,0
129,2020-07-04,3,9.7,0
130,2020-07-05,2,9.4,0
131,2020-07-06,7,9.6,0
132,2020-07-07,8,7.4,0
133,2020-07-08,7,6.3,0
134,2020-07-09,6,5.3,0
135,2020-07-10,13,6.6,0
136,2020-07-11,14,8.1,0
137,2020-07-12,3,8.3,0
138,2020-07-13,6,8.1,0
139,2020-07-14,15,9.1,0
140,2020-07-15,14,10.1,0
141,2020-07-16,9,10.6,0
142,2020-07-17,14,10.7,0
143,2020-07-18,7,9.7,0
144,2020-07-19,2,9.6,0
145,2020-07-20,7,9.7,0
146,2020-07-21,17,10.0,0
147,2020-07-22,9,9.3,0
148,2020-07-23,15,10.1,0
149,2020-07-24,15,10.3,0
150,2020-07-25,6,10.1,0
151,2020-07-26,2,10.1,0
152,2020-07-27,4,9.7,0
153,2020-07-28,16,9.6,0
154,2020-07-29,11,9.9,0
155,2020-07-30,23,11.0,0
156,2020-07-31,10,10.3,0
157,2020-08-01,16,11.7,0
158,2020-08-02,2,11.7,0
159,2020-08-03,5,11.9,0
160,2020-08-04,15,11.7,0
161,2020-08-05,16,12.4,0
162,2020-08-06,18,11.7,0
163,2020-08-07,10,11.7,0
164,2020-08-08,8,10.6,0
165,2020-08-09,3,10.7,0
166,2020-08-10,9,11.3,0
167,2020-08-11,29,13.3,0
168,2020-08-12,24,14.4,0
169,2020-08-13,20,14.7,0
170,2020-08-14,13,15.1,0
171,2020-08-15,19,16.7,0
172,2020-08-16,11,17.9,0
173,2020-08-17,9,17.9,0
174,2020-08-18,27,17.6,0
175,2020-08-19,30,18.4,0
176,2020-08-20,15,17.7,0
177,2020-08-21,17,18.3,0
178,2020-08-22,19,18.3,0
179,2020-08-23,15,18.9,0
180,2020-08-24,9,18.9,0
181,2020-08-25,29,19.1,0
182,2020-08-26,34,19.7,0
183,2020-08-27,27,21.4,0
184,2020-08-28,23,22.3,0
185,2020-08-29,23,22.9,0
186,2020-08-30,9,22.0,0
187,2020-08-31,7,21.7,0
188,2020-09-01,18,20.1,0
189,2020-09-02,20,18.1,0
190,2020-09-03,27,18.1,0
191,2020-09-04,27,18.7,0
192,2020-09-05,20,18.3,0
193,2020-09-06,5,17.7,0
194,2020-09-07,15,18.9,0
195,2020-09-08,20,19.1,0
196,2020-09-09,19,19.0,0
197,2020-09-10,30,19.4,0
198,2020-09-11,19,18.3,0
199,2020-09-12,23,18.7,0
200,2020-09-13,13,19.9,0
201,2020-09-14,7,18.7,0
202,2020-09-15,28,19.9,0
203,2020-09-16,37,22.4,0
204,2020-09-17,22,21.3,0
205,2020-09-18,28,22.6,0
206,2020-09-19,12,21.0,0
207,2020-09-20,14,21.1,0
208,2020-09-21,10,21.6,0
209,2020-09-22,21,20.6,0
210,2020-09-23,15,17.4,0
211,2020-09-24,10,15.7,0
212,2020-09-25,17,14.1,0
213,2020-09-26,6,13.3,0
214,2020-09-27,5,12.0,0
215,2020-09-28,6,11.4,0
216,2020-09-29,10,9.9,0
217,2020-09-30,18,10.3,0
218,2020-10-01,16,11.1,0
219,2020-10-02,16,11.0,0
220,2020-10-03,24,13.6,0
221,2020-10-04,10,14.3,0
222,2020-10-05,16,15.7,0
223,2020-10-06,43,20.4,0
224,2020-10-07,55,25.7,0
225,2020-10-08,58,31.7,0
226,2020-10-09,64,38.6,0
227,2020-10-10,63,44.1,0
228,2020-10-11,24,46.1,0
229,2020-10-12,45,50.3,0
230,2020-10-13,130,62.7,0
231,2020-10-14,142,75.1,0
232,2020-10-15,147,87.9,0
233,2020-10-16,155,100.9,0
234,2020-10-17,119,108.9,0
235,2020-10-18,91,118.4,0
236,2020-10-19,87,124.4,0
237,2020-10-20,257,142.6,0
238,2020-10-21,273,161.3,0
239,2020-10-22,266,178.3,0
240,2020-10-23,264,193.9,0
241,2020-10-24,323,223.0,0
242,2020-10-25,157,232.4,0
243,2020-10-26,226,252.3,0
244,2020-10-27,441,278.6,0
245,2020-10-28,458,305.0,0
