Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Rheinfelden,118,60
Aarau,86,69
Suhr,86,46
Wettingen,82,54
Möhlin,72,42
Oftringen,64,83
Menziken,56,60
Zofingen,50,43
Obersiggenthal,48,58
Bremgarten,46,46
