BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,kategorie_sieben_tage,Wappen
4026,Ennetbaden,3507.0,235.0,0-3,0-3,6.700883946392929,0.0,0.0,http://i.imgur.com/wJOjCmh.png
4005,Erlinsbach,4327.0,304.0,9,5,7.025652877282182,9.0,1.0,http://i.imgur.com/Ih3L9IJ.png
4196,Fahrwangen,2310.0,182.0,0-3,4,7.878787878787878,0.0,0.0,http://i.imgur.com/zB6yFbf.png
4067,Fischbach-Göslikon,1663.0,126.0,4,13,7.576668671076368,4.0,1.0,http://i.imgur.com/mWTvWia.png
4306,Fisibach,526.0,43.0,4,0-3,8.17490494296578,4.0,1.0,http://i.imgur.com/yTT7fDF.png
4027,Fislisbach,5606.0,617.0,0-3,7,11.00606493043168,0.0,0.0,http://i.imgur.com/Nlv59so.png
4028,Freienwil,1053.0,72.0,0-3,0-3,6.837606837606838,0.0,0.0,http://i.imgur.com/nTfgkCY.png
4163,Frick,5584.0,509.0,0-3,5,9.115329512893982,0.0,0.0,http://i.imgur.com/vz4fzlu.png
4307,Full-Reuenthal,862.0,63.0,0-3,0-3,7.308584686774942,0.0,0.0,http://i.imgur.com/K5WG8LN.png
4164,Gansingen,1060.0,57.0,0-3,0-3,5.377358490566038,0.0,0.0,http://i.imgur.com/78jiI1Z.png
4029,Gebenstorf,5497.0,467.0,0-3,6,8.495543023467347,0.0,0.0,http://i.imgur.com/RxpsOVw.png
4232,Geltwil,214.0,,,,,,,http://i.imgur.com/QsJLNJe.png
4165,Gipf-Oberfrick,3722.0,176.0,0-3,0-3,4.728640515851692,0.0,0.0,http://i.imgur.com/xgSIKpN.png
4135,Gontenschwil,2137.0,128.0,0-3,0-3,5.989705194197473,0.0,0.0,http://i.imgur.com/Lclz6bM.png
4006,Gränichen,8039.0,619.0,6,5,7.699962681925612,6.0,1.0,http://i.imgur.com/CIdzMjH.png
4099,Habsburg,418.0,,,,,,,http://i.imgur.com/gdx3lLc.png
4197,Hallwil,902.0,54.0,0-3,0-3,5.986696230598669,0.0,0.0,http://i.imgur.com/HtG409v.png
4100,Hausen,3673.0,292.0,0-3,0-3,7.949904710046283,0.0,0.0,http://i.imgur.com/xX4VwmR.png
4251,Hellikon,783.0,48.0,0-3,0-3,6.130268199233716,0.0,0.0,http://i.imgur.com/J5RSMbU.png
4198,Hendschiken,1320.0,131.0,0-3,5,9.924242424242424,0.0,0.0,http://i.imgur.com/gWXFvm5.png
4166,Herznach,1560.0,128.0,0-3,0-3,8.205128205128204,0.0,0.0,http://i.imgur.com/MhJEcTa.png
4007,Hirschthal,1646.0,136.0,0-3,0-3,8.262454434993925,0.0,0.0,http://i.imgur.com/EukYYJT.png
4199,Holderbank,1382.0,135.0,0-3,0-3,9.768451519536903,0.0,0.0,http://i.imgur.com/qsnl5Dc.png
4136,Holziken,1494.0,108.0,0-3,0-3,7.228915662650602,0.0,0.0,http://i.imgur.com/UX2nmJk.png
4167,Hornussen,1005.0,91.0,0-3,0-3,9.054726368159203,0.0,0.0,http://i.imgur.com/lSP17BT.png
4200,Hunzenschwil,4106.0,421.0,5,8,10.253287871407696,5.0,1.0,http://i.imgur.com/Vqj6WIx.png
4068,Hägglingen,2478.0,159.0,0-3,0-3,6.416464891041162,0.0,0.0,http://i.imgur.com/yrhxWfN.png
4084,Islisberg,643.0,54.0,0-3,0-3,8.398133748055987,0.0,0.0,http://i.imgur.com/xKYZkne.png
4071,Jonen,2190.0,139.0,5,0-3,6.347031963470319,5.0,1.0,http://i.imgur.com/ECk8cce.png
4252,Kaiseraugst,5533.0,475.0,0-3,0-3,8.584854509307789,0.0,0.0,http://i.imgur.com/rTZ61AE.png
4308,Kaiserstuhl,419.0,,,,,,,http://i.imgur.com/M6tzgTf.png
4169,Kaisten,2685.0,224.0,0-3,0-3,8.342644320297952,0.0,0.0,http://i.imgur.com/k2OMcvS.png
4233,Kallern,399.0,,,,,,,http://i.imgur.com/xKNEKBa.png
4030,Killwangen,2050.0,193.0,0-3,6,9.414634146341463,0.0,0.0,http://i.imgur.com/1mK0CwS.png
4275,Kirchleerau,882.0,71.0,0-3,0-3,8.049886621315192,0.0,0.0,http://i.imgur.com/VUYTPz1.png
4309,Klingnau,3523.0,341.0,0-3,0-3,9.679250638660234,0.0,0.0,http://i.imgur.com/VoJQHvN.png
4310,Koblenz,1690.0,184.0,0-3,0-3,10.88757396449704,0.0,0.0,http://i.imgur.com/NUihGv5.png
4276,Kölliken,4561.0,429.0,0-3,5,9.405832054374041,0.0,0.0,http://i.imgur.com/82JAxdf.png
4031,Künten,1814.0,121.0,0-3,0-3,6.6703417861080485,0.0,0.0,http://i.imgur.com/5mVDyI2.png
