bfs_nummer,Bezirk,Gemeinde,Total Fälle,Fälle neu,Einwohner,fälle_pro_hundert,wappen
2601,Solothurn,Solothurn,5626,157,16883,33.32346147011787,http://i.imgur.com/JHN85pd.png
2465,Bucheggberg,Buchegg,718,18,2521,28.480761602538674,http://i.imgur.com/yrxc1LY.png
2464,Bucheggberg,Lüsslingen-Nennigkofen,474,7,1104,42.934782608695656,http://i.imgur.com/N8MtfcB.png
2455,Bucheggberg,Lüterkofen-Ichertswil,261,5,879,29.692832764505116,http://i.imgur.com/YJgUnxE.png
2457,Bucheggberg,Messen,469,4,1474,31.818181818181817,http://i.imgur.com/2uxYEzV.png
2461,Bucheggberg,Schnottwil,367,0,1139,32.22124670763828,http://i.imgur.com/pEng2IM.png
2471,Dorneck,Bättwil,323,3,1190,27.142857142857142,http://i.imgur.com/LLvYalH.png
2472,Dorneck,Büren,321,4,1051,30.542340627973356,http://i.imgur.com/PnBxaSz.png
2473,Dorneck,Dornach,2396,19,6923,34.60927343637151,http://i.imgur.com/COHmoqb.png
2474,Dorneck,Gempen,280,1,906,30.90507726269316,http://i.imgur.com/HzEspur.png
2475,Dorneck,Hochwald,357,2,1277,27.956147220046983,http://i.imgur.com/kIBMZAQ.png
2476,Dorneck,Hofstetten-Flüh,860,5,3216,26.741293532338307,http://i.imgur.com/V2VR9yi.png
2477,Dorneck,Metzerlen-Mariastein,282,4,943,29.90455991516437,http://i.imgur.com/i4ILrgV.png
2478,Dorneck,Nuglar-St. Pantaleon,425,4,1521,27.94214332675871,http://i.imgur.com/MGm5Ywo.png
2479,Dorneck,Rodersdorf,326,2,1368,23.830409356725145,http://i.imgur.com/p4uw0r9.png
2480,Dorneck,Seewen,288,6,1026,28.07017543859649,http://i.imgur.com/0JB6Mb5.png
2481,Dorneck,Witterswil,362,5,1450,24.96551724137931,http://i.imgur.com/0JrQ5Xw.png
2401,Gäu,Egerkingen,1211,10,4086,29.637787567302986,http://i.imgur.com/wyoEuip.png
2402,Gäu,Härkingen,478,3,1648,29.004854368932037,http://i.imgur.com/PQdyoSw.png
2403,Gäu,Kestenholz,577,21,1852,31.155507559395247,http://i.imgur.com/ITC2whV.png
2404,Gäu,Neuendorf,683,8,2278,29.982440737489025,http://i.imgur.com/aAcIy85.png
2405,Gäu,Niederbuchsiten,313,5,1265,24.743083003952567,http://i.imgur.com/cetMZcH.png
2406,Gäu,Oberbuchsiten,600,6,2305,26.030368763557483,http://i.imgur.com/GMgfP9q.png
2407,Gäu,Oensingen,2002,18,6326,31.647170407840658,http://i.imgur.com/nxrng2H.png
2408,Gäu,Wolfwil,683,34,2376,28.745791245791246,http://i.imgur.com/rWT56QU.png
2503,Gösgen,Erlinsbach,967,22,3576,27.041387024608497,http://i.imgur.com/PUlb6uL.png
2492,Gösgen,Kienberg,128,3,506,25.296442687747035,http://i.imgur.com/wLtAkKX.png
2493,Gösgen,Lostorf,1024,16,3967,25.812956894378626,http://i.imgur.com/zAcNSRM.png
2495,Gösgen,Niedergösgen,1194,16,3904,30.584016393442624,http://i.imgur.com/AllQYDU.png
2497,Gösgen,Obergösgen,637,11,2363,26.95725772323318,http://i.imgur.com/H29uxzr.png
2499,Gösgen,Stüsslingen,345,0,1227,28.117359413202937,http://i.imgur.com/ZbMWoK9.png
2500,Gösgen,Trimbach,2024,13,6617,30.58787970379326,http://i.imgur.com/WoSpmww.png
2501,Gösgen,Winznau,489,9,1977,24.73444613050076,http://i.imgur.com/XzWXfuU.png
2542,Lebern,Bellach,1623,15,5340,30.39325842696629,http://i.imgur.com/ltCzE3I.png
2543,Lebern,Bettlach,1360,19,4971,27.358680346006842,http://i.imgur.com/iR6Ksbc.png
2544,Lebern,Feldbrunnen-St. Niklaus,204,15,977,20.880245649948822,http://i.imgur.com/8RQLWmc.png
2545,Lebern,Flumenthal,327,6,1056,30.96590909090909,http://i.imgur.com/h8frbs5.png
2546,Lebern,Grenchen,5457,42,17746,30.750591682632706,http://i.imgur.com/HPgVrQu.png
2547,Lebern,Günsberg,355,7,1197,29.65747702589808,http://i.imgur.com/ZKfrFH6.png
2548,Lebern,Hubersdorf,218,3,727,29.98624484181568,http://i.imgur.com/GrIxwUh.png
2550,Lebern,Langendorf,1140,28,3789,30.08709422011085,http://i.imgur.com/gBJhift.png
2551,Lebern,Lommiswil,473,17,1590,29.748427672955973,http://i.imgur.com/kp8FhJC.png
2553,Lebern,Oberdorf,443,9,1780,24.8876404494382,http://i.imgur.com/crpGiRQ.png
2554,Lebern,Riedholz,714,8,2317,30.815709969788518,http://i.imgur.com/sMEMU8t.png
2555,Lebern,Rüttenen,328,8,1483,22.117329737019556,http://i.imgur.com/sivJZRn.png
2556,Lebern,Selzach,1026,16,3510,29.230769230769234,http://i.imgur.com/kla0mby.png
2571,Olten,Boningen,249,3,796,31.281407035175878,http://i.imgur.com/MhFqEu0.png
2572,Olten,Däniken,843,13,2898,29.08902691511387,http://i.imgur.com/BZxrxKx.png
2573,Olten,Dulliken,1639,20,5105,32.10577864838394,http://i.imgur.com/XL473mv.png
2575,Olten,Fulenbach,490,22,1773,27.636773829667234,http://i.imgur.com/QcYUHDY.png
2576,Olten,Gretzenbach,756,15,2789,27.106489781283617,http://i.imgur.com/MlSwCRn.png
2578,Olten,Gunzgen,447,6,1691,26.43406268480189,http://i.imgur.com/tAcSIIa.png
2579,Olten,Hägendorf,1569,16,5193,30.213749277874065,http://i.imgur.com/RJoWgKI.png
2580,Olten,Kappel,897,7,3286,27.297626293365795,http://i.imgur.com/FR4dCDn.png
2581,Olten,Olten,5239,77,18549,28.244110194619655,http://i.imgur.com/P9JM0Cd.png
2582,Olten,Rickenbach,299,2,1057,28.2876064333018,http://i.imgur.com/EVTUO7d.png
2583,Olten,Schönenwerd,1512,15,5094,29.681978798586574,http://i.imgur.com/l6WAIYt.png
2584,Olten,Starrkirch-Wil,534,7,1758,30.37542662116041,http://i.imgur.com/T9u6sRs.png
2586,Olten,Wangen b. Olten,1556,14,5155,30.184287099903006,http://i.imgur.com/gCafUGv.png
2421,Thal,Aedermannsdorf,200,4,581,34.42340791738382,http://i.imgur.com/BVMxQoV.png
2422,Thal,Balsthal,2075,31,6234,33.28521013795316,http://i.imgur.com/18bTE5O.png
2425,Thal,Holderbank,214,3,706,30.31161473087819,http://i.imgur.com/ftfz7o1.png
2426,Thal,Laupersdorf,557,16,1811,30.756488128106017,http://i.imgur.com/ZL7intR.png
2427,Thal,Matzendorf,339,6,1326,25.565610859728505,http://i.imgur.com/z108GYa.png
2428,Thal,Mümliswil-Ramiswil,754,15,2395,31.48225469728601,http://i.imgur.com/IvGrJWV.png
2430,Thal,Welschenrohr,295,3,1089,27.089072543618,http://i.imgur.com/hQrTbTj.png
2611,Thierstein,Bärschwil,183,3,804,22.761194029850746,http://i.imgur.com/SIV7f2Q.png
2613,Thierstein,Breitenbach,1467,26,3994,36.73009514271407,http://i.imgur.com/RS288nQ.png
2614,Thierstein,Büsserach,805,26,2297,35.045711797997384,http://i.imgur.com/Frdm2ev.png
2615,Thierstein,Erschwil,302,1,950,31.789473684210527,http://i.imgur.com/fi2KQWE.png
2616,Thierstein,Fehren,180,3,595,30.252100840336134,http://i.imgur.com/tOLwfbI.png
2618,Thierstein,Himmelried,220,1,958,22.964509394572026,http://i.imgur.com/JV9lhgR.png
