BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,kategorie_sieben_tage,Wappen
4001,Aarau,21814.0,2124.0,86,69,9.736866232694599,86.0,4.0,http://i.imgur.com/JWqWyRS.png
4271,Aarburg,8471.0,1027.0,25,29,12.123716208239879,25.0,2.0,http://i.imgur.com/6Voq865.png
4221,Abtwil,964.0,98.0,34,0-3,10.16597510373444,34.0,3.0,http://i.imgur.com/quVNZ0U.png
4191,Ammerswil,721.0,58.0,4,0-3,8.044382801664355,4.0,1.0,http://i.imgur.com/afyGrTN.png
4222,Aristau,1495.0,138.0,4,0-3,9.230769230769232,4.0,1.0,http://i.imgur.com/PIvaWFS.png
4061,Arni,1900.0,127.0,0-3,4,6.684210526315789,0.0,0.0,http://i.imgur.com/C3WOB3q.png
4091,Auenstein,1615.0,116.0,9,19,7.18266253869969,9.0,1.0,http://i.imgur.com/uT769MY.png
4223,Auw,2180.0,242.0,16,10,11.100917431192661,16.0,2.0,http://i.imgur.com/84retIE.png
4323,Bad Zurzach,4343.0,388.0,6,16,8.933916647478702,6.0,1.0,http://i.imgur.com/mjSPuPu.png
4021,Baden,19531.0,1814.0,43,37,9.287798883825712,43.0,3.0,http://i.imgur.com/in3AmXY.png
4301,Baldingen,273.0,,,,,,,http://i.imgur.com/BEwN8fD.png
4224,Beinwil (Freiamt),1203.0,91.0,5,0-3,7.564422277639235,5.0,1.0,http://i.imgur.com/1n5fQC2.png
4131,Beinwil am See,3377.0,305.0,10,11,9.0316849274504,10.0,1.0,http://i.imgur.com/CZhBYqU.png
4022,Bellikon,1533.0,120.0,5,0-3,7.8277886497064575,5.0,1.0,http://i.imgur.com/EVrqPHP.png
4023,Bergdietikon,2875.0,181.0,7,0-3,6.2956521739130435,7.0,1.0,http://i.imgur.com/zqGmpsA.png
4062,Berikon,4753.0,431.0,17,10,9.067957079739113,17.0,2.0,http://i.imgur.com/3Xs5j19.png
4226,Besenbüren,627.0,47.0,0-3,0-3,7.496012759170653,0.0,0.0,http://i.imgur.com/yiA3B1k.png
4227,Bettwil,662.0,64.0,0-3,0-3,9.667673716012084,0.0,0.0,http://i.imgur.com/OaApds5.png
4002,Biberstein,1580.0,137.0,6,10,8.670886075949367,6.0,1.0,http://i.imgur.com/Kt8HIfM.png
4024,Birmenstorf,2956.0,223.0,0-3,8,7.543978349120432,0.0,0.0,http://i.imgur.com/z7XUl5Q.png
4092,Birr,4605.0,532.0,7,8,11.552660152008688,7.0,1.0,http://i.imgur.com/8lubMLf.png
4093,Birrhard,747.0,60.0,0-3,0-3,8.032128514056225,0.0,0.0,http://i.imgur.com/vJnLuxW.png
4132,Birrwil,1153.0,94.0,10,6,8.152645273200347,10.0,1.0,http://i.imgur.com/JoWL5vL.png
4192,Boniswil,1480.0,143.0,5,5,9.662162162162161,5.0,1.0,http://i.imgur.com/uBIcVt3.png
4228,Boswil,2870.0,235.0,17,14,8.188153310104529,17.0,2.0,http://i.imgur.com/sxNfHIM.png
4273,Bottenwil,816.0,93.0,0-3,6,11.397058823529411,0.0,0.0,http://i.imgur.com/LKmgR6E.png
4063,Bremgarten,8320.0,852.0,46,46,10.240384615384615,46.0,3.0,http://i.imgur.com/BG0afll.png
4274,Brittnau,3960.0,252.0,14,9,6.363636363636363,14.0,2.0,http://i.imgur.com/pYHLczb.png
4095,Brugg,12651.0,1014.0,28,21,8.015176665876215,28.0,2.0,http://i.imgur.com/V9u6Gti.png
4193,Brunegg,881.0,72.0,6,0-3,8.172531214528945,6.0,1.0,http://i.imgur.com/F3kukwZ.png
4003,Buchs,8018.0,932.0,30,31,11.623846345722125,30.0,2.0,http://i.imgur.com/qmCDQpo.png
4133,Burg,1013.0,117.0,11,4,11.549851924975322,11.0,2.0,http://i.imgur.com/vOAYsho.png
4230,Buttwil,1239.0,80.0,0-3,0-3,6.456820016142049,0.0,0.0,http://i.imgur.com/yppnIDt.png
4302,Böbikon,165.0,,,,,,,http://i.imgur.com/XdM34RQ.png
