,Zahlen vom 30.12.2020,vor einer Woche,+/- in %
Fälle neu,394,465,-15.3%
Fälle total,28435,26251,8.3%
7-Tages-Durchschnitt,338.0,398.0,-15.1%
Fälle pro 100'000 EW pro 14 Tage,731.0,831.0,-12.0%
Todesfälle neu,5,16,-68.8%
Todesfälle total,446,394,13.2%
Nachmeldungen Fälle,0,1,-100.0%
Nachmeldungen Todesfälle,3,5,-40.0%
