Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Baden,144,113
Wettingen,121,182
Aarau,116,146
Rheinfelden,112,88
Oftringen,106,140
Wohlen,92,80
Suhr,85,87
Lenzburg,76,44
Zofingen,72,100
Oberentfelden,68,65
