,Zahlen vom 13.12.2021,vor einer Woche,+/- in %
Fälle neu,502,689,-27.1
Fälle total,79881,74978,6.5
7-Tages-Durchschnitt,700.4285714285714,713,-1.8
Fälle pro 100'000 EW pro 14 Tage,1379.9999999999998,1142.941176470588,20.7
Todesfälle neu,2,6,-66.7
Todesfälle total,811,794,2.1
Nachmeldungen Fälle,3,4,-25.0
Nachmeldungen Todesfälle,3,2,50.0
