Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Aarau,22,19
Obersiggenthal,22,16
Wettingen,22,26
Oftringen,12,7
Aarburg,10,0-3
Fislisbach,7,0-3
Spreitenbach,7,9
Baden,6,7
Lenzburg,6,8
Reinach,6,0-3
Zufikon,6,10
