bfs_nummer,Bezirk,Gemeinde,Total Fälle,Fälle neu,Einwohner,fälle_pro_hundert,wappen
2580.0,Olten,Kappel,1160,4,3392,34.19811320754717,http://i.imgur.com/FR4dCDn.png
2581.0,Olten,Olten,7262,49,18417,39.43096052560134,http://i.imgur.com/P9JM0Cd.png
2582.0,Olten,Rickenbach,400,2,1087,36.79852805887764,http://i.imgur.com/EVTUO7d.png
2583.0,Olten,Schönenwerd,1908,7,5133,37.17124488603156,http://i.imgur.com/l6WAIYt.png
2584.0,Olten,Starrkirch-Wil,724,6,1813,39.93381136238279,http://i.imgur.com/T9u6sRs.png
2586.0,Olten,Wangen b. Olten,2096,9,5372,39.01712583767684,http://i.imgur.com/gCafUGv.png
2421.0,Thal,Aedermannsdorf,247,0,582,42.439862542955325,http://i.imgur.com/BVMxQoV.png
2422.0,Thal,Balsthal,2609,9,6354,41.06074913440352,http://i.imgur.com/18bTE5O.png
2425.0,Thal,Holderbank,266,3,731,36.388508891928865,http://i.imgur.com/ftfz7o1.png
2426.0,Thal,Laupersdorf,732,4,1819,40.24189114898296,http://i.imgur.com/ZL7intR.png
2427.0,Thal,Matzendorf,481,2,1371,35.08388037928519,http://i.imgur.com/z108GYa.png
2428.0,Thal,Mümliswil-Ramiswil,944,3,2383,39.61393201846412,http://i.imgur.com/IvGrJWV.png
,Thal,Welschenrohr-Gänsbrunnen,397,0,1173,33.84484228473998,
2611.0,Thierstein,Bärschwil,255,0,793,32.156368221941996,http://i.imgur.com/SIV7f2Q.png
2613.0,Thierstein,Breitenbach,1864,2,4055,45.96794081381011,http://i.imgur.com/RS288nQ.png
2614.0,Thierstein,Büsserach,1019,0,2346,43.43563512361467,http://i.imgur.com/Frdm2ev.png
2615.0,Thierstein,Erschwil,378,3,940,40.21276595744681,http://i.imgur.com/fi2KQWE.png
2616.0,Thierstein,Fehren,247,2,584,42.29452054794521,http://i.imgur.com/tOLwfbI.png
2618.0,Thierstein,Himmelried,310,3,941,32.94367693942614,http://i.imgur.com/JV9lhgR.png
2619.0,Thierstein,Kleinlützel,475,3,1217,39.0304026294166,http://i.imgur.com/YRAV8Lv.png
2620.0,Thierstein,Meltingen,337,0,661,50.983358547655065,http://i.imgur.com/US4T7TG.png
2621.0,Thierstein,Nunningen,832,4,1961,42.42733299337073,http://i.imgur.com/wk78sE6.png
2622.0,Thierstein,Zullwil,310,0,649,47.76579352850539,http://i.imgur.com/TJpYXDO.png
2511.0,Wasseramt,Aeschi,455,1,1311,34.706331045003814,http://i.imgur.com/tCbYiS4.png
2513.0,Wasseramt,Biberist,3642,5,9202,39.57835253205825,http://i.imgur.com/t1DRpBF.png
2516.0,Wasseramt,Deitingen,954,3,2294,41.586748038360945,http://i.imgur.com/p2y3Rzi.png
2517.0,Wasseramt,Derendingen,2764,6,6677,41.39583645349708,http://i.imgur.com/drmZ0fh.png
2535.0,Wasseramt,Drei Höfe,274,0,743,36.87752355316285,http://i.imgur.com/4JHrz4f.png
2518.0,Wasseramt,Etziken,416,1,1024,40.625,http://i.imgur.com/HbwkPRH.png
2519.0,Wasseramt,Gerlafingen,2413,8,5597,43.11238163301769,http://i.imgur.com/9CQ9svQ.png
2520.0,Wasseramt,Halten,298,0,850,35.05882352941177,http://i.imgur.com/v6uFic4.png
2523.0,Wasseramt,Horriwil,385,1,871,44.20206659012629,http://i.imgur.com/EbWzfp4.png
2525.0,Wasseramt,Kriegstetten,533,1,1378,38.67924528301887,http://i.imgur.com/4jZ8ETC.png
2526.0,Wasseramt,Lohn-Ammannsegg,1147,2,2895,39.620034542314336,http://i.imgur.com/B6ZozeW.png
2527.0,Wasseramt,Luterbach,1446,4,3649,39.62729514935599,http://i.imgur.com/M0uPCK5.png
2528.0,Wasseramt,Obergerlafingen,422,0,1253,33.679169992019155,http://i.imgur.com/oXurco9.png
2529.0,Wasseramt,Oekingen,330,2,897,36.78929765886287,http://i.imgur.com/zvx6Jpb.png
2530.0,Wasseramt,Recherswil,759,0,2083,36.43783005280845,http://i.imgur.com/tvUPa8W.png
2532.0,Wasseramt,Subingen,1308,3,3188,41.028858218318696,http://i.imgur.com/3nC8fJu.png
2534.0,Wasseramt,Zuchwil,3981,10,9237,43.09840857421241,http://i.imgur.com/A5H6PB3.png
