Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Aarau,317.0,242
Wettingen,243.0,252
Baden,241.0,194
Rothrist,212.0,146
Lenzburg,206.0,127
Gränichen,203.0,118
Oftringen,201.0,170
Wohlen,185.0,206
Zofingen,177.0,169
Suhr,172.0,187
