Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Wettingen,401.0,498.0
Wohlen,394.0,367.0
Baden,378.0,427.0
Rheinfelden,364.0,360.0
Aarau,325.0,444.0
Spreitenbach,290.0,358.0
Oftringen,273.0,263.0
Möhlin,264.0,263.0
Brugg,263.0,301.0
Zofingen,211.0,265.0
