Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Aarau,531.0,317.0
Baden,445.0,241.0
Wettingen,425.0,242.0
Zofingen,313.0,177.0
Wohlen,289.0,185.0
Oftringen,277.0,202.0
Lenzburg,247.0,206.0
Möhlin,247.0,104.0
Muri,246.0,92.0
Gränichen,239.0,204.0
