,Zahlen vom 20.05.2021,vor einer Woche,+/- in %
Fälle neu,64,60,6.7
Fälle total,46926,46349,1.2
7-Tages-Durchschnitt,82.42857142857143,91.28571428571429,-9.7
Fälle pro 100'000 EW pro 14 Tage,186.47058823529412,223.08823529411765,-16.4
Todesfälle neu,0,2,-100.0
Todesfälle total,697,693,0.6
Nachmeldungen Fälle,0,119,-100.0
Nachmeldungen Todesfälle,0,0,0.0
