BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,kategorie_sieben_tage,Wappen
4001,Aarau,21814.0,1930.0,40,25,8.847529109746034,40.0,3.0,http://i.imgur.com/JWqWyRS.png
4271,Aarburg,8471.0,963.0,32,16,11.368197379294061,32.0,3.0,http://i.imgur.com/6Voq865.png
4221,Abtwil,964.0,58.0,0-3,0-3,6.016597510373444,0.0,0.0,http://i.imgur.com/quVNZ0U.png
4191,Ammerswil,721.0,52.0,0-3,0-3,7.212205270457697,0.0,0.0,http://i.imgur.com/afyGrTN.png
4222,Aristau,1495.0,131.0,5,0-3,8.762541806020067,5.0,1.0,http://i.imgur.com/PIvaWFS.png
4061,Arni,1900.0,122.0,5,0-3,6.421052631578947,5.0,1.0,http://i.imgur.com/C3WOB3q.png
4091,Auenstein,1615.0,87.0,6,0-3,5.386996904024768,6.0,1.0,http://i.imgur.com/uT769MY.png
4223,Auw,2180.0,212.0,0-3,5,9.724770642201836,0.0,0.0,http://i.imgur.com/84retIE.png
4323,Bad Zurzach,4343.0,358.0,4,0-3,8.243149896384987,4.0,1.0,http://i.imgur.com/mjSPuPu.png
4021,Baden,19531.0,1696.0,54,30,8.683631150478726,54.0,4.0,http://i.imgur.com/in3AmXY.png
4301,Baldingen,273.0,,,,,,,http://i.imgur.com/BEwN8fD.png
4224,Beinwil (Freiamt),1203.0,85.0,0-3,0-3,7.065669160432253,0.0,0.0,http://i.imgur.com/1n5fQC2.png
4131,Beinwil am See,3377.0,271.0,9,0-3,8.02487414865265,9.0,1.0,http://i.imgur.com/CZhBYqU.png
4022,Bellikon,1533.0,112.0,0-3,0-3,7.30593607305936,0.0,0.0,http://i.imgur.com/EVrqPHP.png
4023,Bergdietikon,2875.0,170.0,0-3,0-3,5.913043478260869,0.0,0.0,http://i.imgur.com/zqGmpsA.png
4062,Berikon,4753.0,403.0,8,6,8.478855459709656,8.0,1.0,http://i.imgur.com/3Xs5j19.png
4226,Besenbüren,627.0,39.0,0-3,0-3,6.220095693779904,0.0,0.0,http://i.imgur.com/yiA3B1k.png
4227,Bettwil,662.0,58.0,0-3,0-3,8.761329305135952,0.0,0.0,http://i.imgur.com/OaApds5.png
4002,Biberstein,1580.0,122.0,4,14,7.721518987341772,4.0,1.0,http://i.imgur.com/Kt8HIfM.png
4024,Birmenstorf,2956.0,211.0,0-3,0-3,7.138024357239512,0.0,0.0,http://i.imgur.com/z7XUl5Q.png
4092,Birr,4605.0,513.0,4,9,11.140065146579804,4.0,1.0,http://i.imgur.com/8lubMLf.png
4093,Birrhard,747.0,58.0,0-3,5,7.764390896921017,0.0,0.0,http://i.imgur.com/vJnLuxW.png
4132,Birrwil,1153.0,77.0,0-3,0-3,6.678230702515179,0.0,0.0,http://i.imgur.com/JoWL5vL.png
4192,Boniswil,1480.0,129.0,0-3,0-3,8.716216216216216,0.0,0.0,http://i.imgur.com/uBIcVt3.png
4228,Boswil,2870.0,198.0,0-3,0-3,6.898954703832752,0.0,0.0,http://i.imgur.com/sxNfHIM.png
4273,Bottenwil,816.0,80.0,0-3,0-3,9.803921568627452,0.0,0.0,http://i.imgur.com/LKmgR6E.png
4063,Bremgarten,8320.0,734.0,22,27,8.822115384615385,22.0,2.0,http://i.imgur.com/BG0afll.png
4274,Brittnau,3960.0,222.0,7,5,5.606060606060606,7.0,1.0,http://i.imgur.com/pYHLczb.png
4095,Brugg,12651.0,947.0,9,8,7.485574262904119,9.0,1.0,http://i.imgur.com/V9u6Gti.png
4193,Brunegg,881.0,64.0,0-3,0-3,7.264472190692395,0.0,0.0,http://i.imgur.com/F3kukwZ.png
4003,Buchs,8018.0,852.0,66,23,10.626091294587178,66.0,4.0,http://i.imgur.com/qmCDQpo.png
4133,Burg,1013.0,98.0,0-3,0-3,9.674234945705825,0.0,0.0,http://i.imgur.com/vOAYsho.png
4230,Buttwil,1239.0,77.0,11,0-3,6.214689265536723,11.0,2.0,http://i.imgur.com/yppnIDt.png
4302,Böbikon,165.0,,,,,,,http://i.imgur.com/XdM34RQ.png
4303,Böttstein,3926.0,436.0,7,0-3,11.105450840550178,7.0,1.0,http://i.imgur.com/qhbXZHO.png
4124,Bözberg,1650.0,94.0,16,0-3,5.696969696969697,16.0,2.0,http://i.imgur.com/Z82TA8D.png
4094,Bözen,801.0,58.0,0-3,0-3,7.240948813982522,0.0,0.0,http://i.imgur.com/4vqxy3h.png
4229,Bünzen,1116.0,62.0,0-3,0-3,5.555555555555555,0.0,0.0,http://i.imgur.com/R25JhYh.png
4064,Büttikon,1015.0,94.0,5,0-3,9.261083743842365,5.0,1.0,http://i.imgur.com/ogYGHIu.png
4004,Densbüren,732.0,44.0,0-3,0-3,6.0109289617486334,0.0,0.0,http://i.imgur.com/0PxOfpX.png
4231,Dietwil,1349.0,126.0,0-3,0-3,9.34025203854707,0.0,0.0,http://i.imgur.com/OzZ1nJd.png
4194,Dintikon,2273.0,222.0,11,0-3,9.766827980642322,11.0,2.0,http://i.imgur.com/lBAsq7b.png
4065,Dottikon,3904.0,475.0,0-3,6,12.167008196721312,0.0,0.0,http://i.imgur.com/0mUHtpT.png
4304,Döttingen,4181.0,454.0,13,0-3,10.858646256876344,13.0,2.0,http://i.imgur.com/vlYGFfx.png
4134,Dürrenäsch,1313.0,75.0,0-3,5,5.712109672505712,0.0,0.0,http://i.imgur.com/yvxFBnD.png
4096,Effingen,617.0,55.0,0-3,0-3,8.914100486223662,0.0,0.0,http://i.imgur.com/ZN8SrR2.png
4066,Eggenwil,1038.0,70.0,0-3,0-3,6.74373795761079,0.0,0.0,http://i.imgur.com/yYenINV.png
4195,Egliswil,1472.0,107.0,0-3,0-3,7.2690217391304355,0.0,0.0,http://i.imgur.com/vN2vVQd.png
4049,Ehrendingen,4849.0,368.0,6,6,7.589193648174882,6.0,1.0,http://i.imgur.com/fiW4ip1.png
4161,Eiken,2298.0,189.0,0-3,12,8.224543080939947,0.0,0.0,http://i.imgur.com/iCYKJYG.png
4097,Elfingen,296.0,,,,,,,http://i.imgur.com/Zf9aMeU.png
4305,Endingen,2567.0,193.0,0-3,0-3,7.518504090377872,0.0,0.0,http://i.imgur.com/n2YkuRe.png
4026,Ennetbaden,3507.0,242.0,4,0-3,6.900484744796122,4.0,1.0,http://i.imgur.com/wJOjCmh.png
4005,Erlinsbach,4327.0,317.0,0-3,0-3,7.3260919805870115,0.0,0.0,http://i.imgur.com/Ih3L9IJ.png
4196,Fahrwangen,2310.0,199.0,0-3,5,8.614718614718615,0.0,0.0,http://i.imgur.com/zB6yFbf.png
4067,Fischbach-Göslikon,1663.0,155.0,9,0-3,9.320505111244739,9.0,1.0,http://i.imgur.com/mWTvWia.png
4306,Fisibach,526.0,43.0,0-3,0-3,8.17490494296578,0.0,0.0,http://i.imgur.com/yTT7fDF.png
4027,Fislisbach,5606.0,673.0,19,6,12.004994648590795,19.0,2.0,http://i.imgur.com/Nlv59so.png
4028,Freienwil,1053.0,83.0,7,0-3,7.88224121557455,7.0,1.0,http://i.imgur.com/nTfgkCY.png
4163,Frick,5584.0,546.0,5,14,9.777936962750717,5.0,1.0,http://i.imgur.com/vz4fzlu.png
4307,Full-Reuenthal,862.0,62.0,0-3,0-3,7.192575406032482,0.0,0.0,http://i.imgur.com/K5WG8LN.png
4164,Gansingen,1060.0,64.0,5,0-3,6.037735849056604,5.0,1.0,http://i.imgur.com/78jiI1Z.png
4029,Gebenstorf,5497.0,490.0,9,6,8.91395306530835,9.0,1.0,http://i.imgur.com/RxpsOVw.png
4232,Geltwil,214.0,,,,,,,http://i.imgur.com/QsJLNJe.png
4165,Gipf-Oberfrick,3722.0,190.0,0-3,4,5.104782375067169,0.0,0.0,http://i.imgur.com/xgSIKpN.png
4135,Gontenschwil,2137.0,152.0,7,0-3,7.1127749181094995,7.0,1.0,http://i.imgur.com/Lclz6bM.png
