,Zahlen vom 11.07.2021,vor einer Woche,+/- in %
Fälle neu,50.0,33.0,51.5
Fälle total,48000,47880,0.3
7-Tages-Durchschnitt,17.142857142857142,13.285714285714286,29.0
Fälle pro 100'000 EW pro 14 Tage,26.764705882352942,16.02941176470588,67.0
Todesfälle neu,0.0,0.0,0.0
Todesfälle total,704,704,0.0
Nachmeldungen Fälle,3,0,
Nachmeldungen Todesfälle,0,0,0.0
