Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Aarau,430.0,372
Wettingen,428.0,365
Wohlen,347.0,304
Spreitenbach,337.0,274
Suhr,319.0,213
Baden,310.0,322
Brugg,265.0,186
Oftringen,262.0,260
Rheinfelden,256.0,222
Neuenhof,254.0,151
