Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Wettingen,502.0,428.0
Aarau,470.0,430.0
Baden,446.0,310.0
Rheinfelden,388.0,256.0
Wohlen,381.0,347.0
Lenzburg,368.0,244.0
Spreitenbach,363.0,337.0
Brugg,312.0,265.0
Suhr,301.0,319.0
Oftringen,295.0,262.0
