Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Aarau,602.0,529.0
Baden,558.0,446.0
Wettingen,509.0,423.0
Zofingen,394.0,315.0
Wohlen,390.0,290.0
Oftringen,357.0,275.0
Brugg,341.0,228.0
Lenzburg,314.0,248.0
Möhlin,289.0,247.0
Gränichen,280.0,240.0
Rheinfelden,280.0,149.0
