Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Wettingen,136,121
Baden,133,144
Aarau,130,116
Rheinfelden,102,112
Oftringen,94,106
Lenzburg,86,76
Wohlen,73,92
Neuenhof,59,62
Muri,58,53
Spreitenbach,58,46
