Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Aarau,27,22
Oftringen,27,12
Spreitenbach,18,7
Wettingen,18,22
Reinach,17,6
Wohlen,16,5
Würenlos,16,0-3
Baden,15,6
Fislisbach,15,7
Gränichen,14,4
Menziken,14,5
Obersiggenthal,14,22
