BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,kategorie_sieben_tage,Wappen
4001,Aarau,21814,1679.0,44,62,7.696891904281654,44.0,3.0,http://i.imgur.com/JWqWyRS.png
4002,Biberstein,1580,100.0,4,0-3,6.329113924050633,4.0,1.0,http://i.imgur.com/Kt8HIfM.png
4003,Buchs,8018,733.0,18,30,9.141930656023947,18.0,2.0,http://i.imgur.com/qmCDQpo.png
4004,Densbüren,732,42.0,6,4,5.737704918032787,6.0,1.0,http://i.imgur.com/0PxOfpX.png
4005,Erlinsbach,4327,282.0,21,11,6.517217471689392,21.0,2.0,http://i.imgur.com/Ih3L9IJ.png
4006,Gränichen,8039,592.0,25,11,7.364100012439358,25.0,2.0,http://i.imgur.com/CIdzMjH.png
4007,Hirschthal,1646,133.0,0-3,0-3,8.080194410692588,0.0,0.0,http://i.imgur.com/EukYYJT.png
4008,Küttigen,6286,415.0,14,15,6.601972637607381,14.0,2.0,http://i.imgur.com/p524AOA.png
4009,Muhen,3939,296.0,0-3,7,7.514597613607514,0.0,0.0,http://i.imgur.com/bL0cP46.png
4010,Oberentfelden,8534,854.0,30,16,10.007030700726506,30.0,2.0,http://i.imgur.com/eNr44Vb.png
4012,Suhr,10512,1003.0,28,24,9.541476407914764,28.0,2.0,http://i.imgur.com/lcfdzfA.png
4013,Unterentfelden,4275,402.0,13,15,9.403508771929825,13.0,2.0,http://i.imgur.com/YH3LS4D.png
4021,Baden,19531,1520.0,53,50,7.782499615995085,53.0,4.0,http://i.imgur.com/in3AmXY.png
4022,Bellikon,1533,100.0,0-3,0-3,6.523157208088715,0.0,0.0,http://i.imgur.com/EVrqPHP.png
4023,Bergdietikon,2875,159.0,0-3,12,5.530434782608696,0.0,0.0,http://i.imgur.com/zqGmpsA.png
4024,Birmenstorf,2956,194.0,24,6,6.562922868741543,24.0,2.0,http://i.imgur.com/z7XUl5Q.png
4049,Ehrendingen,4849,331.0,7,9,6.826149721592081,7.0,1.0,http://i.imgur.com/fiW4ip1.png
4026,Ennetbaden,3507,227.0,11,15,6.47276874821785,11.0,2.0,http://i.imgur.com/wJOjCmh.png
4027,Fislisbach,5606,599.0,9,7,10.68498037816625,9.0,1.0,http://i.imgur.com/Nlv59so.png
4028,Freienwil,1053,69.0,0-3,0-3,6.552706552706552,0.0,0.0,http://i.imgur.com/nTfgkCY.png
4029,Gebenstorf,5497,450.0,4,10,8.186283427323996,4.0,1.0,http://i.imgur.com/RxpsOVw.png
4030,Killwangen,2050,181.0,8,6,8.829268292682926,8.0,1.0,http://i.imgur.com/1mK0CwS.png
4031,Künten,1814,115.0,0-3,0-3,6.339581036383682,0.0,0.0,http://i.imgur.com/5mVDyI2.png
4032,Mägenwil,2128,184.0,6,6,8.646616541353383,6.0,1.0,http://i.imgur.com/i6P6JMV.png
4033,Mellingen,5803,503.0,6,17,8.667930380837499,6.0,1.0,http://i.imgur.com/ygzUtMm.png
4034,Neuenhof,8989,970.0,36,37,10.790966737123151,36.0,3.0,http://i.imgur.com/yrqjhgc.png
4035,Niederrohrdorf,4195,294.0,4,8,7.00834326579261,4.0,1.0,http://i.imgur.com/FIcVun6.png
4037,Oberrohrdorf,4046,258.0,0-3,12,6.3766683143845775,0.0,0.0,http://i.imgur.com/9yN4UPe.png
4038,Obersiggenthal,8688,678.0,17,25,7.803867403314917,17.0,2.0,http://i.imgur.com/uJJH5dZ.png
4039,Remetschwil,2021,155.0,0-3,7,7.669470559129143,0.0,0.0,http://i.imgur.com/3bWmPXL.png
4040,Spreitenbach,12146,1413.0,46,48,11.633459575168779,46.0,3.0,http://i.imgur.com/rTrCwxh.png
