Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Oftringen,83,66
Aarau,69,52
Menziken,60,32
Rheinfelden,60,42
Obersiggenthal,58,68
Rothrist,54,22
Wettingen,54,21
Bremgarten,46,19
Suhr,46,32
Zofingen,43,23
