BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,vorletzte_sieben_tage,kategorie_sieben_tage,Wappen
4001,Aarau,21814.0,4377.0,470.0,430.0,20.065095810030257,470.0,430.0,4.0,http://i.imgur.com/JWqWyRS.png
4271,Aarburg,8471.0,1918.0,264.0,196.0,22.641954904969896,264.0,196.0,4.0,http://i.imgur.com/6Voq865.png
4221,Abtwil,964.0,228.0,24.0,30.0,23.651452282157674,24.0,30.0,2.0,http://i.imgur.com/quVNZ0U.png
4191,Ammerswil,721.0,119.0,15.0,4.0,16.50485436893204,15.0,4.0,2.0,http://i.imgur.com/afyGrTN.png
4222,Aristau,1495.0,305.0,36.0,52.0,20.401337792642142,36.0,52.0,3.0,http://i.imgur.com/PIvaWFS.png
4061,Arni,1900.0,327.0,27.0,24.0,17.210526315789473,27.0,24.0,2.0,http://i.imgur.com/C3WOB3q.png
4091,Auenstein,1615.0,224.0,18.0,19.0,13.869969040247678,18.0,19.0,2.0,http://i.imgur.com/uT769MY.png
4223,Auw,2180.0,549.0,84.0,56.0,25.18348623853211,84.0,56.0,4.0,http://i.imgur.com/84retIE.png
4021,Baden,19531.0,3813.0,446.0,310.0,19.522809891966617,446.0,310.0,4.0,http://i.imgur.com/in3AmXY.png
4224,Beinwil (Freiamt),1203.0,230.0,26.0,14.0,19.11886949293433,26.0,14.0,2.0,http://i.imgur.com/1n5fQC2.png
4131,Beinwil am See,3377.0,633.0,74.0,53.0,18.74444773467575,74.0,53.0,4.0,http://i.imgur.com/CZhBYqU.png
4022,Bellikon,1533.0,255.0,33.0,11.0,16.634050880626223,33.0,11.0,3.0,http://i.imgur.com/EVrqPHP.png
4023,Bergdietikon,2875.0,455.0,56.0,57.0,15.82608695652174,56.0,57.0,4.0,http://i.imgur.com/zqGmpsA.png
4062,Berikon,4753.0,936.0,153.0,114.0,19.692825583841785,153.0,114.0,4.0,http://i.imgur.com/3Xs5j19.png
4226,Besenbüren,627.0,138.0,17.0,9.0,22.00956937799043,17.0,9.0,2.0,http://i.imgur.com/yiA3B1k.png
4227,Bettwil,662.0,134.0,17.0,11.0,20.241691842900302,17.0,11.0,2.0,http://i.imgur.com/OaApds5.png
4002,Biberstein,1580.0,320.0,34.0,26.0,20.253164556962027,34.0,26.0,3.0,http://i.imgur.com/Kt8HIfM.png
4024,Birmenstorf,2956.0,550.0,78.0,48.0,18.606224627875505,78.0,48.0,4.0,http://i.imgur.com/z7XUl5Q.png
4092,Birr,4605.0,1008.0,108.0,98.0,21.889250814332247,108.0,98.0,4.0,http://i.imgur.com/8lubMLf.png
4093,Birrhard,747.0,151.0,19.0,35.0,20.214190093708165,19.0,35.0,2.0,http://i.imgur.com/vJnLuxW.png
4132,Birrwil,1153.0,189.0,21.0,17.0,16.392020815264527,21.0,17.0,2.0,http://i.imgur.com/JoWL5vL.png
4192,Boniswil,1480.0,351.0,45.0,53.0,23.716216216216214,45.0,53.0,3.0,http://i.imgur.com/uBIcVt3.png
4228,Boswil,2870.0,549.0,63.0,56.0,19.128919860627178,63.0,56.0,4.0,http://i.imgur.com/sxNfHIM.png
4273,Bottenwil,816.0,162.0,6.0,15.0,19.852941176470587,6.0,15.0,1.0,http://i.imgur.com/LKmgR6E.png
4063,Bremgarten,8320.0,1698.0,149.0,139.0,20.408653846153847,149.0,139.0,4.0,http://i.imgur.com/BG0afll.png
4274,Brittnau,3960.0,647.0,79.0,63.0,16.338383838383837,79.0,63.0,4.0,http://i.imgur.com/pYHLczb.png
4095,Brugg,12651.0,2219.0,312.0,265.0,17.540115405896767,312.0,265.0,4.0,http://i.imgur.com/V9u6Gti.png
4193,Brunegg,881.0,177.0,27.0,32.0,20.090805902383654,27.0,32.0,2.0,http://i.imgur.com/F3kukwZ.png
4003,Buchs,8018.0,1923.0,222.0,242.0,23.983537041656273,222.0,242.0,4.0,http://i.imgur.com/qmCDQpo.png
4133,Burg,1013.0,219.0,33.0,23.0,21.618953603158932,33.0,23.0,3.0,http://i.imgur.com/vOAYsho.png
4230,Buttwil,1239.0,254.0,47.0,34.0,20.500403551251008,47.0,34.0,3.0,http://i.imgur.com/yppnIDt.png
4303,Böttstein,3926.0,839.0,101.0,86.0,21.370351502801835,101.0,86.0,4.0,http://i.imgur.com/qhbXZHO.png
4124,Bözberg,1650.0,249.0,37.0,29.0,15.090909090909092,37.0,29.0,3.0,http://i.imgur.com/Z82TA8D.png
4185,Böztal,2719.0,507.0,50.0,81.0,18.646561235748436,50.0,81.0,3.0,https://i.imgur.com/zKagqOg.png
4229,Bünzen,1116.0,251.0,31.0,33.0,22.491039426523297,31.0,33.0,3.0,http://i.imgur.com/R25JhYh.png
4064,Büttikon,1015.0,260.0,20.0,14.0,25.615763546798032,20.0,14.0,2.0,http://i.imgur.com/ogYGHIu.png
4004,Densbüren,732.0,106.0,17.0,13.0,14.48087431693989,17.0,13.0,2.0,http://i.imgur.com/0PxOfpX.png
4231,Dietwil,1349.0,298.0,51.0,42.0,22.090437361008153,51.0,42.0,4.0,http://i.imgur.com/OzZ1nJd.png
4194,Dintikon,2273.0,508.0,77.0,56.0,22.34931808183018,77.0,56.0,4.0,http://i.imgur.com/lBAsq7b.png
4065,Dottikon,3904.0,1028.0,144.0,90.0,26.331967213114755,144.0,90.0,4.0,http://i.imgur.com/0mUHtpT.png
4304,Döttingen,4181.0,938.0,104.0,100.0,22.43482420473571,104.0,100.0,4.0,http://i.imgur.com/vlYGFfx.png
4134,Dürrenäsch,1313.0,250.0,33.0,18.0,19.04036557501904,33.0,18.0,3.0,http://i.imgur.com/yvxFBnD.png
4066,Eggenwil,1038.0,185.0,24.0,29.0,17.82273603082852,24.0,29.0,2.0,http://i.imgur.com/yYenINV.png
4195,Egliswil,1472.0,293.0,48.0,33.0,19.904891304347828,48.0,33.0,3.0,http://i.imgur.com/vN2vVQd.png
4049,Ehrendingen,4849.0,877.0,119.0,86.0,18.08620334089503,119.0,86.0,4.0,http://i.imgur.com/fiW4ip1.png
4161,Eiken,2298.0,490.0,98.0,41.0,21.32288946910357,98.0,41.0,4.0,http://i.imgur.com/iCYKJYG.png
4305,Endingen,2567.0,499.0,67.0,78.0,19.439033891702376,67.0,78.0,4.0,http://i.imgur.com/n2YkuRe.png
4026,Ennetbaden,3507.0,644.0,45.0,37.0,18.36327345309381,45.0,37.0,3.0,http://i.imgur.com/wJOjCmh.png
4005,Erlinsbach,4327.0,815.0,89.0,89.0,18.83522070718743,89.0,89.0,4.0,http://i.imgur.com/Ih3L9IJ.png
4196,Fahrwangen,2310.0,480.0,76.0,48.0,20.77922077922078,76.0,48.0,4.0,http://i.imgur.com/zB6yFbf.png
4067,Fischbach-Göslikon,1663.0,351.0,65.0,25.0,21.10643415514131,65.0,25.0,4.0,http://i.imgur.com/mWTvWia.png
4306,Fisibach,526.0,128.0,16.0,24.0,24.334600760456272,16.0,24.0,2.0,http://i.imgur.com/yTT7fDF.png
4027,Fislisbach,5606.0,1246.0,150.0,130.0,22.226186229040316,150.0,130.0,4.0,http://i.imgur.com/Nlv59so.png
4028,Freienwil,1053.0,200.0,41.0,16.0,18.99335232668566,41.0,16.0,3.0,http://i.imgur.com/nTfgkCY.png
4163,Frick,5584.0,1132.0,125.0,115.0,20.27220630372493,125.0,115.0,4.0,http://i.imgur.com/vz4fzlu.png
4307,Full-Reuenthal,862.0,132.0,15.0,8.0,15.31322505800464,15.0,8.0,2.0,http://i.imgur.com/K5WG8LN.png
4164,Gansingen,1060.0,167.0,33.0,11.0,15.754716981132075,33.0,11.0,3.0,http://i.imgur.com/78jiI1Z.png
4029,Gebenstorf,5497.0,1130.0,132.0,104.0,20.556667273058032,132.0,104.0,4.0,http://i.imgur.com/RxpsOVw.png
4232,Geltwil,214.0,,,,,,,,http://i.imgur.com/QsJLNJe.png
4165,Gipf-Oberfrick,3722.0,635.0,100.0,58.0,17.06072004298764,100.0,58.0,4.0,http://i.imgur.com/xgSIKpN.png
4135,Gontenschwil,2137.0,324.0,13.0,26.0,15.161441272812354,13.0,26.0,2.0,http://i.imgur.com/Lclz6bM.png
4006,Gränichen,8039.0,1567.0,203.0,148.0,19.492474188331883,203.0,148.0,4.0,http://i.imgur.com/CIdzMjH.png
4099,Habsburg,418.0,,,,,,,,http://i.imgur.com/gdx3lLc.png
4197,Hallwil,902.0,197.0,27.0,12.0,21.840354767184035,27.0,12.0,2.0,http://i.imgur.com/HtG409v.png
4100,Hausen,3673.0,676.0,58.0,60.0,18.404573917778382,58.0,60.0,4.0,http://i.imgur.com/xX4VwmR.png
4251,Hellikon,783.0,156.0,23.0,25.0,19.923371647509576,23.0,25.0,2.0,http://i.imgur.com/J5RSMbU.png
4198,Hendschiken,1320.0,292.0,31.0,37.0,22.12121212121212,31.0,37.0,3.0,http://i.imgur.com/gWXFvm5.png
4166,Herznach,1560.0,295.0,41.0,25.0,18.91025641025641,41.0,25.0,3.0,http://i.imgur.com/MhJEcTa.png
4007,Hirschthal,1646.0,314.0,34.0,19.0,19.07654921020656,34.0,19.0,3.0,http://i.imgur.com/EukYYJT.png
4199,Holderbank,1382.0,299.0,29.0,22.0,21.635311143270624,29.0,22.0,2.0,http://i.imgur.com/qsnl5Dc.png
4136,Holziken,1494.0,334.0,53.0,47.0,22.356091030789827,53.0,47.0,4.0,http://i.imgur.com/UX2nmJk.png
4200,Hunzenschwil,4106.0,888.0,109.0,77.0,21.626887481734048,109.0,77.0,4.0,http://i.imgur.com/Vqj6WIx.png
4068,Hägglingen,2478.0,457.0,34.0,48.0,18.44229217110573,34.0,48.0,3.0,http://i.imgur.com/yrhxWfN.png
4084,Islisberg,643.0,149.0,28.0,12.0,23.17262830482115,28.0,12.0,2.0,http://i.imgur.com/xKYZkne.png
4071,Jonen,2190.0,444.0,52.0,70.0,20.273972602739725,52.0,70.0,4.0,http://i.imgur.com/ECk8cce.png
4252,Kaiseraugst,5533.0,1110.0,128.0,101.0,20.06144948490873,128.0,101.0,4.0,http://i.imgur.com/rTZ61AE.png
4169,Kaisten,2685.0,503.0,37.0,72.0,18.733705772811916,37.0,72.0,3.0,http://i.imgur.com/k2OMcvS.png
4233,Kallern,399.0,,,,,,,,http://i.imgur.com/xKNEKBa.png
4030,Killwangen,2050.0,482.0,55.0,78.0,23.51219512195122,55.0,78.0,4.0,http://i.imgur.com/1mK0CwS.png
4275,Kirchleerau,882.0,164.0,23.0,10.0,18.594104308390023,23.0,10.0,2.0,http://i.imgur.com/VUYTPz1.png
4309,Klingnau,3523.0,679.0,69.0,70.0,19.273346579619645,69.0,70.0,4.0,http://i.imgur.com/VoJQHvN.png
4310,Koblenz,1690.0,335.0,35.0,22.0,19.82248520710059,35.0,22.0,3.0,http://i.imgur.com/NUihGv5.png
4276,Kölliken,4561.0,973.0,114.0,88.0,21.33304099978075,114.0,88.0,4.0,http://i.imgur.com/82JAxdf.png
4031,Künten,1814.0,292.0,26.0,28.0,16.09702315325248,26.0,28.0,2.0,http://i.imgur.com/5mVDyI2.png
4008,Küttigen,6286.0,1176.0,135.0,118.0,18.70824053452116,135.0,118.0,4.0,http://i.imgur.com/p524AOA.png
4170,Laufenburg,3668.0,730.0,93.0,47.0,19.90185387131952,93.0,47.0,4.0,http://i.imgur.com/0q2DzDX.png
4311,Leibstadt,1344.0,216.0,23.0,21.0,16.071428571428573,23.0,21.0,2.0,http://i.imgur.com/nDEg55x.png
4137,Leimbach,480.0,,,,,,,,http://i.imgur.com/TX9Scww.png
4312,Lengnau,2768.0,520.0,51.0,48.0,18.786127167630056,51.0,48.0,4.0,http://i.imgur.com/jtVn2cE.png
4201,Lenzburg,10899.0,2275.0,368.0,244.0,20.873474630700066,368.0,244.0,4.0,http://i.imgur.com/hwKNDNt.png
4313,Leuggern,2166.0,353.0,43.0,37.0,16.297322253000925,43.0,37.0,3.0,http://i.imgur.com/jwxM3DD.png
4138,Leutwil,744.0,111.0,9.0,4.0,14.919354838709678,9.0,4.0,1.0,http://i.imgur.com/L9D6Thz.png
4104,Lupfig,3152.0,570.0,84.0,66.0,18.083756345177665,84.0,66.0,4.0,http://i.imgur.com/GsvlHnm.png
4253,Magden,3886.0,662.0,70.0,56.0,17.03551209469892,70.0,56.0,4.0,http://i.imgur.com/RjlsGjO.png
