Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Baden,34,15
Aarau,25,27
Oftringen,21,27
Wohlen,21,16
Bremgarten,19,0-3
Zofingen,19,12
Wegenstetten,18,0-3
Gränichen,17,14
Rothrist,16,4
Laufenburg,15,5
Rheinfelden,15,13
Rudolfstetten-Friedlisberg,15,11
