BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,kategorie_sieben_tage,Wappen
4306,Fisibach,526.0,69.0,0.0,4,13.11787072243346,0.0,http://i.imgur.com/yTT7fDF.png
4027,Fislisbach,5606.0,835.0,32.0,27,14.894755618979666,3.0,http://i.imgur.com/Nlv59so.png
4028,Freienwil,1053.0,124.0,5.0,5,11.77587844254511,1.0,http://i.imgur.com/nTfgkCY.png
4163,Frick,5584.0,779.0,44.0,31,13.95057306590258,3.0,http://i.imgur.com/vz4fzlu.png
4307,Full-Reuenthal,862.0,88.0,6.0,0-3,10.208816705336426,1.0,http://i.imgur.com/K5WG8LN.png
4164,Gansingen,1060.0,113.0,7.0,7,10.660377358490566,1.0,http://i.imgur.com/78jiI1Z.png
4029,Gebenstorf,5497.0,751.0,49.0,36,13.661997453156266,3.0,http://i.imgur.com/RxpsOVw.png
4232,Geltwil,214.0,,,,,,http://i.imgur.com/QsJLNJe.png
4165,Gipf-Oberfrick,3722.0,362.0,35.0,25,9.725953788285867,3.0,http://i.imgur.com/xgSIKpN.png
4135,Gontenschwil,2137.0,266.0,9.0,10,12.447356106691624,1.0,http://i.imgur.com/Lclz6bM.png
4006,Gränichen,8039.0,1017.0,78.0,35,12.650827217315586,4.0,http://i.imgur.com/CIdzMjH.png
4099,Habsburg,418.0,,,,,,http://i.imgur.com/gdx3lLc.png
4197,Hallwil,902.0,143.0,14.0,25,15.853658536585366,2.0,http://i.imgur.com/HtG409v.png
4100,Hausen,3673.0,487.0,38.0,24,13.25891641709774,3.0,http://i.imgur.com/xX4VwmR.png
4251,Hellikon,783.0,94.0,7.0,9,12.005108556832694,1.0,http://i.imgur.com/J5RSMbU.png
4198,Hendschiken,1320.0,185.0,13.0,16,14.015151515151514,2.0,http://i.imgur.com/gWXFvm5.png
4166,Herznach,1560.0,191.0,8.0,4,12.243589743589743,1.0,http://i.imgur.com/MhJEcTa.png
4007,Hirschthal,1646.0,225.0,17.0,15,13.669501822600244,2.0,http://i.imgur.com/EukYYJT.png
4199,Holderbank,1382.0,215.0,10.0,8,15.557163531114327,1.0,http://i.imgur.com/qsnl5Dc.png
4136,Holziken,1494.0,198.0,19.0,11,13.253012048192772,2.0,http://i.imgur.com/UX2nmJk.png
