Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Oftringen,145,64
Rheinfelden,131,118
Wettingen,117,82
Aarau,100,86
Baden,89,43
Zofingen,87,50
Möhlin,74,72
Suhr,71,86
Schöftland,65,18
Rothrist,58,44
