BFS-Nummer,index,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,kategorie_sieben_tage,Wappen
4048.0,Würenlos,6482.0,468.0,9,8,7.219993829065103,9.0,1.0,http://i.imgur.com/BeciNc5.png
4183.0,Zeihen,1162.0,67.0,0-3,0-3,5.76592082616179,0.0,0.0,http://i.imgur.com/DRqKcvq.png
4263.0,Zeiningen,2392.0,135.0,0-3,0-3,5.6438127090301,0.0,0.0,http://i.imgur.com/NDqPy8c.png
4147.0,Zetzwil,1344.0,108.0,0-3,0-3,8.035714285714286,0.0,0.0,http://i.imgur.com/HQ60iSU.png
4289.0,Zofingen,11909.0,785.0,15,31,6.591653371399782,15.0,2.0,http://i.imgur.com/Qf7Qf0z.png
4083.0,Zufikon,4503.0,260.0,32,0-3,5.773928492116367,32.0,3.0,http://i.imgur.com/LxfskzN.png
4264.0,Zuzgen,868.0,53.0,0-3,4,6.105990783410138,0.0,0.0,http://i.imgur.com/SNdgB4O.png
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
