BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,vorletzte_sieben_tage,kategorie_sieben_tage,Wappen
4001,Aarau,21814.0,6358.0,531.0,317.0,29.146419730448336,531.0,317.0,4.0,http://i.imgur.com/JWqWyRS.png
4271,Aarburg,8471.0,2688.0,194.0,105.0,31.73179081572424,194.0,105.0,4.0,http://i.imgur.com/6Voq865.png
4221,Abtwil,964.0,364.0,33.0,8.0,37.75933609958506,33.0,8.0,3.0,http://i.imgur.com/quVNZ0U.png
4191,Ammerswil,721.0,192.0,17.0,12.0,26.629680998613036,17.0,12.0,2.0,http://i.imgur.com/afyGrTN.png
4222,Aristau,1495.0,444.0,38.0,19.0,29.698996655518396,38.0,19.0,3.0,http://i.imgur.com/PIvaWFS.png
4061,Arni,1900.0,411.0,21.0,13.0,21.63157894736842,21.0,13.0,2.0,http://i.imgur.com/C3WOB3q.png
4091,Auenstein,1615.0,394.0,29.0,25.0,24.396284829721363,29.0,25.0,2.0,http://i.imgur.com/uT769MY.png
4223,Auw,2180.0,792.0,76.0,26.0,36.3302752293578,76.0,26.0,4.0,http://i.imgur.com/84retIE.png
4021,Baden,19531.0,5555.0,445.0,241.0,28.44196405713993,445.0,241.0,4.0,http://i.imgur.com/in3AmXY.png
4224,Beinwil (Freiamt),1203.0,356.0,31.0,21.0,29.592684954280962,31.0,21.0,3.0,http://i.imgur.com/1n5fQC2.png
4131,Beinwil am See,3377.0,973.0,82.0,59.0,28.812555522653245,82.0,59.0,4.0,http://i.imgur.com/CZhBYqU.png
4022,Bellikon,1533.0,384.0,37.0,17.0,25.048923679060664,37.0,17.0,3.0,http://i.imgur.com/EVrqPHP.png
4023,Bergdietikon,2875.0,661.0,37.0,19.0,22.991304347826087,37.0,19.0,3.0,http://i.imgur.com/zqGmpsA.png
4062,Berikon,4753.0,1322.0,72.0,69.0,27.81401220281927,72.0,69.0,4.0,http://i.imgur.com/3Xs5j19.png
4226,Besenbüren,627.0,192.0,7.0,9.0,30.62200956937799,7.0,9.0,1.0,http://i.imgur.com/yiA3B1k.png
4227,Bettwil,662.0,224.0,16.0,21.0,33.8368580060423,16.0,21.0,2.0,http://i.imgur.com/OaApds5.png
4002,Biberstein,1580.0,431.0,28.0,15.0,27.27848101265823,28.0,15.0,2.0,http://i.imgur.com/Kt8HIfM.png
4024,Birmenstorf,2956.0,825.0,44.0,33.0,27.90933694181326,44.0,33.0,3.0,http://i.imgur.com/z7XUl5Q.png
4092,Birr,4605.0,1402.0,91.0,61.0,30.44516829533116,91.0,61.0,4.0,http://i.imgur.com/8lubMLf.png
4093,Birrhard,747.0,219.0,9.0,8.0,29.31726907630522,9.0,8.0,1.0,http://i.imgur.com/vJnLuxW.png
4132,Birrwil,1153.0,286.0,20.0,24.0,24.804856895056375,20.0,24.0,2.0,http://i.imgur.com/JoWL5vL.png
4192,Boniswil,1480.0,511.0,27.0,28.0,34.52702702702703,27.0,28.0,2.0,http://i.imgur.com/uBIcVt3.png
4228,Boswil,2870.0,834.0,71.0,45.0,29.05923344947735,71.0,45.0,4.0,http://i.imgur.com/sxNfHIM.png
4273,Bottenwil,816.0,217.0,22.0,11.0,26.59313725490196,22.0,11.0,2.0,http://i.imgur.com/LKmgR6E.png
4063,Bremgarten,8320.0,2486.0,178.0,108.0,29.879807692307693,178.0,108.0,4.0,http://i.imgur.com/BG0afll.png
4274,Brittnau,3960.0,1091.0,119.0,82.0,27.550505050505052,119.0,82.0,4.0,http://i.imgur.com/pYHLczb.png
4095,Brugg,12651.0,3217.0,228.0,118.0,25.428819856137853,228.0,118.0,4.0,http://i.imgur.com/V9u6Gti.png
4193,Brunegg,881.0,299.0,10.0,8.0,33.938706015891036,10.0,8.0,1.0,http://i.imgur.com/F3kukwZ.png
4003,Buchs,8018.0,2690.0,158.0,86.0,33.54951359441257,158.0,86.0,4.0,http://i.imgur.com/qmCDQpo.png
4133,Burg,1013.0,295.0,19.0,7.0,29.121421520236918,19.0,7.0,2.0,http://i.imgur.com/vOAYsho.png
4230,Buttwil,1239.0,394.0,29.0,27.0,31.799838579499596,29.0,27.0,2.0,http://i.imgur.com/yppnIDt.png
4303,Böttstein,3926.0,1172.0,72.0,37.0,29.852266938359655,72.0,37.0,4.0,http://i.imgur.com/qhbXZHO.png
