Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Buchs,66,23
Baden,54,30
Suhr,53,9
Aarau,40,25
Oftringen,33,20
Aarburg,32,16
Seon,32,26
Rheinfelden,30,15
Lengnau,27,12
Bremgarten,22,27
