Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Aarau,358.0,283
Wettingen,343.0,274
Baden,311.0,289
Wohlen,295.0,213
Spreitenbach,259.0,130
Oftringen,251.0,139
Rheinfelden,215.0,145
Möhlin,213.0,129
Suhr,197.0,178
Muri,190.0,125
