bfs_nummer,Bezirk,Gemeinde,Total Fälle,Fälle neu,Einwohner,fälle_pro_hundert,wappen
2601.0,Solothurn,Solothurn,7620,11,16859,45.19841034462305,http://i.imgur.com/JHN85pd.png
2465.0,Bucheggberg,Buchegg,1006,2,2511,40.0637196336121,http://i.imgur.com/yrxc1LY.png
2464.0,Bucheggberg,Lüsslingen-Nennigkofen,582,0,1115,52.19730941704036,http://i.imgur.com/N8MtfcB.png
2455.0,Bucheggberg,Lüterkofen-Ichertswil,388,0,908,42.731277533039645,http://i.imgur.com/YJgUnxE.png
2457.0,Bucheggberg,Messen,606,1,1475,41.08474576271187,http://i.imgur.com/2uxYEzV.png
2461.0,Bucheggberg,Schnottwil,462,1,1140,40.526315789473685,http://i.imgur.com/pEng2IM.png
2471.0,Dorneck,Bättwil,518,4,1162,44.57831325301205,http://i.imgur.com/LLvYalH.png
2472.0,Dorneck,Büren,438,0,1047,41.833810888252145,http://i.imgur.com/PnBxaSz.png
2473.0,Dorneck,Dornach,3111,7,6870,45.28384279475983,http://i.imgur.com/COHmoqb.png
2474.0,Dorneck,Gempen,395,2,908,43.502202643171806,http://i.imgur.com/HzEspur.png
2475.0,Dorneck,Hochwald,497,2,1257,39.53858392999204,http://i.imgur.com/kIBMZAQ.png
2476.0,Dorneck,Hofstetten-Flüh,1186,1,3299,35.95028796605032,http://i.imgur.com/V2VR9yi.png
2477.0,Dorneck,Metzerlen-Mariastein,377,0,957,39.39393939393939,http://i.imgur.com/i4ILrgV.png
2478.0,Dorneck,Nuglar-St. Pantaleon,557,0,1539,36.19233268356075,http://i.imgur.com/MGm5Ywo.png
2479.0,Dorneck,Rodersdorf,487,2,1406,34.63726884779517,http://i.imgur.com/p4uw0r9.png
2480.0,Dorneck,Seewen,400,0,1055,37.91469194312796,http://i.imgur.com/0JB6Mb5.png
2481.0,Dorneck,Witterswil,556,2,1466,37.92633015006821,http://i.imgur.com/0JrQ5Xw.png
2401.0,Gäu,Egerkingen,1656,2,4214,39.29757949691505,http://i.imgur.com/wyoEuip.png
2402.0,Gäu,Härkingen,681,1,1730,39.36416184971098,http://i.imgur.com/PQdyoSw.png
2403.0,Gäu,Kestenholz,755,0,1874,40.28815368196371,http://i.imgur.com/ITC2whV.png
2404.0,Gäu,Neuendorf,950,3,2342,40.563620836891545,http://i.imgur.com/aAcIy85.png
2405.0,Gäu,Niederbuchsiten,481,0,1284,37.46105919003115,http://i.imgur.com/cetMZcH.png
2406.0,Gäu,Oberbuchsiten,840,2,2300,36.52173913043478,http://i.imgur.com/GMgfP9q.png
2407.0,Gäu,Oensingen,2548,0,6484,39.29673041332511,http://i.imgur.com/nxrng2H.png
2408.0,Gäu,Wolfwil,968,1,2388,40.53601340033501,http://i.imgur.com/rWT56QU.png
2503.0,Gösgen,Erlinsbach,1277,4,3594,35.53144129104062,http://i.imgur.com/PUlb6uL.png
2492.0,Gösgen,Kienberg,184,0,497,37.02213279678068,http://i.imgur.com/wLtAkKX.png
2493.0,Gösgen,Lostorf,1452,2,4052,35.834155972359326,http://i.imgur.com/zAcNSRM.png
2495.0,Gösgen,Niedergösgen,1577,0,4057,38.87108701010599,http://i.imgur.com/AllQYDU.png
2497.0,Gösgen,Obergösgen,906,0,2402,37.71856786011657,http://i.imgur.com/H29uxzr.png
2499.0,Gösgen,Stüsslingen,512,2,1236,41.42394822006473,http://i.imgur.com/ZbMWoK9.png
2500.0,Gösgen,Trimbach,2629,5,6663,39.45670118565211,http://i.imgur.com/WoSpmww.png
2501.0,Gösgen,Winznau,738,1,1964,37.57637474541752,http://i.imgur.com/XzWXfuU.png
2542.0,Lebern,Bellach,2158,12,5389,40.04453516422342,http://i.imgur.com/ltCzE3I.png
2543.0,Lebern,Bettlach,1979,0,4965,39.85901309164149,http://i.imgur.com/iR6Ksbc.png
,Lebern,Feldbrunnen,318,0,1004,31.673306772908365,
2545.0,Lebern,Flumenthal,458,1,1037,44.165863066538094,http://i.imgur.com/h8frbs5.png
2546.0,Lebern,Grenchen,6999,10,18010,38.86174347584675,http://i.imgur.com/HPgVrQu.png
2547.0,Lebern,Günsberg,470,1,1163,40.41272570937231,http://i.imgur.com/ZKfrFH6.png
2548.0,Lebern,Hubersdorf,288,0,725,39.724137931034484,http://i.imgur.com/GrIxwUh.png
2550.0,Lebern,Langendorf,1590,2,3798,41.864139020537124,http://i.imgur.com/gBJhift.png
2551.0,Lebern,Lommiswil,651,2,1605,40.560747663551396,http://i.imgur.com/kp8FhJC.png
2553.0,Lebern,Oberdorf,682,1,1819,37.49312809235844,http://i.imgur.com/crpGiRQ.png
2554.0,Lebern,Riedholz,1003,1,2310,43.41991341991342,http://i.imgur.com/sMEMU8t.png
2555.0,Lebern,Rüttenen,462,0,1512,30.555555555555557,http://i.imgur.com/sivJZRn.png
2556.0,Lebern,Selzach,1433,3,3569,40.15130288596245,http://i.imgur.com/kla0mby.png
2571.0,Olten,Boningen,349,1,794,43.95465994962217,http://i.imgur.com/MhFqEu0.png
2572.0,Olten,Däniken,1116,3,2969,37.58841360727518,http://i.imgur.com/BZxrxKx.png
2573.0,Olten,Dulliken,2093,3,5199,40.2577418734372,http://i.imgur.com/XL473mv.png
2575.0,Olten,Fulenbach,713,0,1776,40.1463963963964,http://i.imgur.com/QcYUHDY.png
2576.0,Olten,Gretzenbach,1051,2,2773,37.901190046880636,http://i.imgur.com/MlSwCRn.png
2578.0,Olten,Gunzgen,627,0,1680,37.32142857142857,http://i.imgur.com/tAcSIIa.png
2579.0,Olten,Hägendorf,2099,3,5265,39.8670465337132,http://i.imgur.com/RJoWgKI.png
2580.0,Olten,Kappel,1195,1,3392,35.22995283018868,http://i.imgur.com/FR4dCDn.png
2581.0,Olten,Olten,7549,11,18417,40.989303361025144,http://i.imgur.com/P9JM0Cd.png
2582.0,Olten,Rickenbach,412,0,1087,37.90248390064397,http://i.imgur.com/EVTUO7d.png
2583.0,Olten,Schönenwerd,1980,1,5133,38.573933372296906,http://i.imgur.com/l6WAIYt.png
2584.0,Olten,Starrkirch-Wil,755,0,1813,41.64368450082736,http://i.imgur.com/T9u6sRs.png
2586.0,Olten,Wangen b. Olten,2164,5,5372,40.28294862248697,http://i.imgur.com/gCafUGv.png
2421.0,Thal,Aedermannsdorf,255,0,582,43.81443298969072,http://i.imgur.com/BVMxQoV.png
2422.0,Thal,Balsthal,2643,3,6354,41.595845136921625,http://i.imgur.com/18bTE5O.png
2425.0,Thal,Holderbank,272,1,731,37.2093023255814,http://i.imgur.com/ftfz7o1.png
2426.0,Thal,Laupersdorf,745,1,1819,40.956569543705335,http://i.imgur.com/ZL7intR.png
2427.0,Thal,Matzendorf,488,0,1371,35.59445660102115,http://i.imgur.com/z108GYa.png
2428.0,Thal,Mümliswil-Ramiswil,958,1,2383,40.20142677297524,http://i.imgur.com/IvGrJWV.png
2430.0,Thal,Welschenrohr,412,1,1173,35.12361466325661,http://i.imgur.com/hQrTbTj.png
2611.0,Thierstein,Bärschwil,268,0,793,33.79571248423707,http://i.imgur.com/SIV7f2Q.png
2613.0,Thierstein,Breitenbach,1914,3,4055,47.20098643649815,http://i.imgur.com/RS288nQ.png
2614.0,Thierstein,Büsserach,1038,0,2346,44.24552429667519,http://i.imgur.com/Frdm2ev.png
2615.0,Thierstein,Erschwil,389,0,940,41.38297872340426,http://i.imgur.com/fi2KQWE.png
2616.0,Thierstein,Fehren,257,0,584,44.00684931506849,http://i.imgur.com/tOLwfbI.png
2618.0,Thierstein,Himmelried,329,0,941,34.962805526036135,http://i.imgur.com/JV9lhgR.png
2619.0,Thierstein,Kleinlützel,490,3,1217,40.26294165981923,http://i.imgur.com/YRAV8Lv.png
2620.0,Thierstein,Meltingen,342,0,661,51.73978819969742,http://i.imgur.com/US4T7TG.png
2621.0,Thierstein,Nunningen,849,0,1961,43.29423763386028,http://i.imgur.com/wk78sE6.png
2622.0,Thierstein,Zullwil,315,1,649,48.536209553158706,http://i.imgur.com/TJpYXDO.png
2511.0,Wasseramt,Aeschi,473,1,1311,36.07932875667429,http://i.imgur.com/tCbYiS4.png
2513.0,Wasseramt,Biberist,3760,7,9202,40.86068246033471,http://i.imgur.com/t1DRpBF.png
2516.0,Wasseramt,Deitingen,974,1,2294,42.45858761987794,http://i.imgur.com/p2y3Rzi.png
2517.0,Wasseramt,Derendingen,2818,4,6677,42.20458289651041,http://i.imgur.com/drmZ0fh.png
2535.0,Wasseramt,Drei Höfe,279,2,743,37.55047106325707,http://i.imgur.com/4JHrz4f.png
2518.0,Wasseramt,Etziken,425,2,1024,41.50390625,http://i.imgur.com/HbwkPRH.png
2519.0,Wasseramt,Gerlafingen,2477,7,5597,44.25585134893693,http://i.imgur.com/9CQ9svQ.png
2520.0,Wasseramt,Halten,305,0,850,35.88235294117647,http://i.imgur.com/v6uFic4.png
2523.0,Wasseramt,Horriwil,394,1,871,45.2353616532721,http://i.imgur.com/EbWzfp4.png
2525.0,Wasseramt,Kriegstetten,546,2,1378,39.62264150943396,http://i.imgur.com/4jZ8ETC.png
2526.0,Wasseramt,Lohn-Ammannsegg,1189,1,2895,41.07081174438687,http://i.imgur.com/B6ZozeW.png
2527.0,Wasseramt,Luterbach,1489,4,3649,40.805700191833374,http://i.imgur.com/M0uPCK5.png
2528.0,Wasseramt,Obergerlafingen,437,1,1253,34.87629688747007,http://i.imgur.com/oXurco9.png
2529.0,Wasseramt,Oekingen,339,1,897,37.79264214046823,http://i.imgur.com/zvx6Jpb.png
2530.0,Wasseramt,Recherswil,794,3,2083,38.11809889582333,http://i.imgur.com/tvUPa8W.png
2532.0,Wasseramt,Subingen,1337,1,3188,41.938519447929735,http://i.imgur.com/3nC8fJu.png
2534.0,Wasseramt,Zuchwil,4064,3,9237,43.99696871278554,http://i.imgur.com/A5H6PB3.png
