Gemeinde,Infektionen letzte Woche,Infektionen vorletzte Woche
Obersiggenthal,68,9
Oftringen,66,30
Aarau,52,36
Rheinfelden,42,30
Baden,34,60
Menziken,32,13
Suhr,32,47
Küttigen,30,9
Wohlen,29,17
Spreitenbach,26,18
