BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,kategorie_sieben_tage,Wappen
4001,Aarau,21814,1541.0,26,13,7.064270651874943,26.0,2.0,http://i.imgur.com/JWqWyRS.png
4002,Biberstein,1580,90.0,0-3,0-3,5.69620253164557,0.0,0.0,http://i.imgur.com/Kt8HIfM.png
4003,Buchs,8018,670.0,13,5,8.356198553255176,13.0,2.0,http://i.imgur.com/qmCDQpo.png
4004,Densbüren,732,32.0,0-3,0-3,4.371584699453552,0.0,0.0,http://i.imgur.com/0PxOfpX.png
4005,Erlinsbach,4327,243.0,8,0-3,5.615900161774902,8.0,1.0,http://i.imgur.com/Ih3L9IJ.png
4006,Gränichen,8039,548.0,14,5,6.816768254758054,14.0,2.0,http://i.imgur.com/CIdzMjH.png
4007,Hirschthal,1646,123.0,0-3,0-3,7.472660996354799,0.0,0.0,http://i.imgur.com/EukYYJT.png
4008,Küttigen,6286,370.0,11,14,5.886096086541521,11.0,2.0,http://i.imgur.com/p524AOA.png
4009,Muhen,3939,281.0,6,0-3,7.133790302107133,6.0,1.0,http://i.imgur.com/bL0cP46.png
4010,Oberentfelden,8534,791.0,15,22,9.268807124443402,15.0,2.0,http://i.imgur.com/eNr44Vb.png
4012,Suhr,10512,925.0,27,10,8.799467275494672,27.0,2.0,http://i.imgur.com/lcfdzfA.png
4013,Unterentfelden,4275,364.0,13,5,8.514619883040936,13.0,2.0,http://i.imgur.com/YH3LS4D.png
4021,Baden,19531,1389.0,17,15,7.111771030669193,17.0,2.0,http://i.imgur.com/in3AmXY.png
4022,Bellikon,1533,96.0,0-3,0-3,6.262230919765166,0.0,0.0,http://i.imgur.com/EVrqPHP.png
4023,Bergdietikon,2875,136.0,6,6,4.730434782608696,6.0,1.0,http://i.imgur.com/zqGmpsA.png
4024,Birmenstorf,2956,158.0,0-3,0-3,5.345060893098782,0.0,0.0,http://i.imgur.com/z7XUl5Q.png
4049,Ehrendingen,4849,304.0,11,0-3,6.269333883274903,11.0,2.0,http://i.imgur.com/fiW4ip1.png
4026,Ennetbaden,3507,192.0,0-3,0-3,5.474764756201882,0.0,0.0,http://i.imgur.com/wJOjCmh.png
4027,Fislisbach,5606,572.0,6,0-3,10.203353549768106,6.0,1.0,http://i.imgur.com/Nlv59so.png
4028,Freienwil,1053,64.0,0-3,0-3,6.077872744539412,0.0,0.0,http://i.imgur.com/nTfgkCY.png
4029,Gebenstorf,5497,427.0,19,9,7.76787338548299,19.0,2.0,http://i.imgur.com/RxpsOVw.png
4030,Killwangen,2050,158.0,6,4,7.7073170731707314,6.0,1.0,http://i.imgur.com/1mK0CwS.png
4031,Künten,1814,109.0,0-3,0-3,6.008820286659317,0.0,0.0,http://i.imgur.com/5mVDyI2.png
4032,Mägenwil,2128,166.0,11,0-3,7.8007518796992485,11.0,2.0,http://i.imgur.com/i6P6JMV.png
4033,Mellingen,5803,473.0,32,5,8.150956401861107,32.0,3.0,http://i.imgur.com/ygzUtMm.png
4034,Neuenhof,8989,860.0,31,7,9.567248859717433,31.0,3.0,http://i.imgur.com/yrqjhgc.png
4035,Niederrohrdorf,4195,266.0,5,0-3,6.340882002383791,5.0,1.0,http://i.imgur.com/FIcVun6.png
4037,Oberrohrdorf,4046,221.0,11,0-3,5.46218487394958,11.0,2.0,http://i.imgur.com/9yN4UPe.png
4038,Obersiggenthal,8688,604.0,26,13,6.952117863720074,26.0,2.0,http://i.imgur.com/uJJH5dZ.png
4039,Remetschwil,2021,144.0,0-3,0-3,7.125185551707075,0.0,0.0,http://i.imgur.com/3bWmPXL.png
4040,Spreitenbach,12146,1255.0,35,15,10.332619792524287,35.0,3.0,http://i.imgur.com/rTrCwxh.png
4041,Stetten,2213,170.0,6,0-3,7.681879801174876,6.0,1.0,http://i.imgur.com/Qeadgb2.png
4042,Turgi,2966,346.0,0-3,0-3,11.665542818610925,0.0,0.0,http://i.imgur.com/PzCWLUz.png
4044,Untersiggenthal,7219,533.0,13,9,7.383294085053331,13.0,2.0,http://i.imgur.com/jBMixKU.png
4045,Wettingen,21106,1678.0,22,23,7.950345873211409,22.0,2.0,http://i.imgur.com/bZt880G.png
4046,Wohlenschwil,1635,113.0,4,0-3,6.911314984709479,4.0,1.0,http://i.imgur.com/o0QVJBn.png
