,Zahlen vom 03.08.2021,vor einer Woche
Neue Fälle,34,19
Fälle gesamt,18858,18621
Todesfälle neu,0,0
Todesfälle gesamt,219,219
Infizierte im Spital,3,1
davon auf der Intensiv-Station,0,1
