,Zahlen vom 21.06.2021,vor einer Woche
Neue Fälle,1,1
Fälle gesamt,12949,12923
Todesfälle neu,0,0
Todesfälle gesamt,205,205
hospitalisierte Patienten ^seit Vortag^,10^0^,14^0^
davon auf der Intensiv-Station ^seit Vortag^,4^0^,3^0^
