,Zahlen vom 08.03.2022,vor einer Woche
Neue Fälle,521,490
Fälle gesamt,60895,57831
Todesfälle neu,0,0
Todesfälle gesamt,273,271
Infizierte im Spital,102,98
davon auf der Intensiv-Station,4,5
